uniprot_ac;gene_name;binddegs_fragments;kleiner;west;
Q9NS69;TOMM22;202;;;
P30519;HMOX2;200;yes;yes;
P80303;NUCB2;196;;;
Q99595;TIMM17A;195;;;
P21796;VDAC1;193;yes;yes;
O60830;TIMM17B;192;;yes;
P24390;KDELR1;191;;;
Q9UHG3;PCYOX1;187;;yes;
Q15392;DHCR24;186;;yes;
P45880;VDAC2;183;yes;yes;
Q70HW3;SLC25A26;182;;;
O75153;CLUH;179;;yes;
O43169;CYB5B;178;;;
Q9H2D1;SLC25A32;173;;;
Q8WTV0;SCARB1;171;;yes;
Q567V2;MPV17L2;170;;;
P43307;SSR1;169;;;
P09601;HMOX1;168;;;
P42785;PRCP;168;yes;yes;
Q9Y282;ERGIC3;167;;;
Q5VW38;GPR107;166;;;
Q69YU5;BRAWNIN;165;;;
O43676;NDUFB3;164;;;
O60725;ICMT;164;;;
Q8N511;TMEM199;164;;yes;
P49721;PSMB2;162;;;
P50897;PPT1;162;;yes;
Q14108;SCARB2;162;;yes;
Q9H061;TMEM126A;161;;;
Q9BQE5;APOL2;161;;;
O75844;ZMPSTE24;161;;yes;
Q9HB40;SCPEP1;157;;yes;
Q13505;MTX1;157;;;
O75964;ATP5MG;155;;;
Q9NPH0;ACP6;151;;;
P42892;ECE1;150;yes;yes;
P14406;COX7A2;149;;;
Q99720;SIGMAR1;147;;yes;
Q15629;TRAM1;147;;;
Q96G23;CERS2;146;;;
O00461;GOLIM4;145;;yes;
Q9HD20;ATP13A1;144;;;
Q86XL3;ANKLE2;143;;;
Q8N4H5;TOMM5;142;;;
O95197;RTN3;142;;;
Q9NRY5;FAM114A2;142;;;
O15173;PGRMC2;141;;;
Q16850;CYP51A1;141;;;
Q9UDW1;UQCR10;139;;;
Q96A26;FAM162A;139;;;
Q15165;PON2;138;;;
Q9UBX3;SLC25A10;138;;yes;
Q13126;MTAP;138;;yes;
Q9Y2R0;COA3;137;;yes;
Q9P2W9;STX18;136;;;
O43657;TSPAN6;135;;yes;
P07099;EPHX1;135;;yes;
A6NIH7;UNC119B;134;;;
Q02818;NUCB1;134;;yes;
P07602;PSAP;133;;yes;
Q9HD45;TM9SF3;133;;;
Q9UIQ6;LNPEP;132;;yes;
O60637;TSPAN3;132;;yes;
Q8N4Q0;ZADH2;130;;;
Q14257;RCN2;130;;yes;
O75503;CLN5;130;;;
O14949;UQCRQ;130;;;
Q9UQB8;BAIAP2;128;;;
Q8IV08;PLD3;128;;yes;
Q93050;ATP6V0A1;127;;yes;
P23786;CPT2;127;;;
Q3SXM5;HSDL1;126;;;
P51648;ALDH3A2;126;;;
Q5BJF2;TMEM97;126;;yes;
Q9C0H2;TTYH3;124;;yes;
Q8NCH0;CHST14;124;;yes;
P55786;NPEPPS;122;;yes;
Q9BRR6;ADPGK;121;;;
Q9H1E5;TMX4;120;;;
P67812;SEC11A;120;;;
Q9NQC3;RTN4;120;;yes;
Q9BTX1;NDC1;119;;;
Q8NHP8;PLBD2;118;;yes;
Q9H4I3;TRABD;117;;;
Q13510;ASAH1;117;;yes;
Q9NR77;PXMP2;116;;;
O43772;SLC25A20;116;;yes;
P10619;CTSA;115;;yes;
Q8NCC3;PLA2G15;115;;;
Q9NX00;TMEM160;115;;;
Q9UHX1;PUF60;114;;yes;
Q8TB61;SLC35B2;114;;yes;
Q15800;MSMO1;114;;;
O96005;CLPTM1;114;;yes;
Q9UDX5;MTFP1;113;;;
O14773;TPP1;113;;yes;
Q9H6V9;LDAH;113;;;
P03886;MT-ND1;112;;;
P04062;GBA;112;;yes;
P46379;BAG6;112;;;
P43490;NAMPT;111;;;
Q9UM22;EPDR1;111;;;
Q8WUJ1;CYB5D2;111;;;
Q9Y3D7;PAM16;111;;;
O95470;SGPL1;111;;;
Q15070;OXA1L;111;;;
P33947;KDELR2;111;;;
Q8N0U8;VKORC1L1;110;;;
Q9H3G5;CPVL;109;;;
Q9UMR5;PPT2;109;;;
Q9NUJ1;ABHD10;107;;;
Q9Y680;FKBP7;107;;;
Q9BSK2;SLC25A33;106;;;
Q8WY22;BRI3BP;106;;;
Q9H773;DCTPP1;105;;;
Q13423;NNT;105;;yes;
Q8IXU6;SLC35F2;105;;;
Q06136;KDSR;103;;yes;
Q96CU9;FOXRED1;103;;;
Q8NBX0;SCCPDH;102;;;
Q969T7;NT5C3B;102;;;
O15118;NPC1;102;yes;yes;
Q9H6K4;OPA3;102;;;
Q9NPR9;GPR108;101;;;
P55010;EIF5;101;;yes;
P00374;DHFR;100;;;
Q9Y487;ATP6V0A2;99;;;
Q6UW02;CYP20A1;99;;;
P00846;MT-ATP6;99;;;
Q9Y5M8;SRPRB;98;;;
A8MTT3;CEBPZOS;98;;;
Q8NBN3;TMEM87A;98;;;
P54802;NAGLU;97;;yes;
Q9Y619;SLC25A15;96;;;
Q9NWM8;FKBP14;96;;;
O00264;PGRMC1;95;;yes;
O14925;TIMM23;95;;;
Q96PC5;MIA2;93;;;
O15260;SURF4;93;;yes;
P21964;COMT;93;;;
Q96KA5;CLPTM1L;93;;;
P16278;GLB1;91;;yes;
Q07065;CKAP4;90;;yes;
O95831;AIFM1;90;;yes;
Q9BV86;NTMT1;90;;yes;
O43760;SYNGR2;90;;yes;
Q9Y277;VDAC3;90;;yes;
Q16740;CLPP;89;;;
P08183;ABCB1;88;;yes;
Q9NZ08;ERAP1;88;;;
Q86UE4;MTDH;88;;;
P13073;COX4I1;87;;;
Q8N4V1;MMGT1;87;;;
Q6DKK2;TTC19;86;;;
Q14739;LBR;86;;yes;
Q9BUN8;DERL1;86;;;
Q86Y39;NDUFA11;85;;;
Q8NC54;KCT2;85;;;
P05783;KRT18;84;;;
Q86YN1;DOLPP1;84;;;
P17900;GM2A;83;;;
Q9NX40;OCIAD1;83;;;
Q96N66;MBOAT7;82;;yes;
O43924;PDE6D;82;;;
O60502;OGA;81;;;
O95684;CEP43;81;;;
O95070;YIF1A;81;;;
O43731;KDELR3;80;;;
P38435;GGCX;80;;;
Q96A33;CCDC47;80;;;
Q96A57;TMEM230;80;;;
Q92791;P3H4;78;;;
P08670;VIM;78;;yes;
O43852;CALU;78;;yes;
O60888;CUTA;78;;yes;
O95772;STARD3NL;78;;yes;
Q7LGA3;HS2ST1;77;;;
P53701;HCCS;77;;;
Q6UW68;TMEM205;77;;;
Q9UMX5;NENF;76;;yes;
P11117;ACP2;76;;yes;
P00403;MT-CO2;76;;;
Q9NZ45;CISD1;76;;;
Q96KC8;DNAJC1;76;;;
Q15363;TMED2;74;;yes;
Q8N5M9;JAGN1;74;;;
P37268;FDFT1;73;;;
P30536;TSPO;73;;;
O94919;ENDOD1;73;;;
Q70UQ0;IKBIP;73;;yes;
Q9P0J0;NDUFA13;72;;;
Q8IZA0;KIAA0319L;72;;;
Q9Y6C9;MTCH2;72;;;
P30825;SLC7A1;72;;;
P00813;ADA;71;;;
P22830;FECH;70;;;
Q96LJ7;DHRS1;70;;;
Q16739;UGCG;70;;;
P24539;ATP5PB;69;;;
Q8N2A8;PLD6;69;;;
Q9HCL2;GPAM;69;;;
Q9NZJ7;MTCH1;69;;;
O75935;DCTN3;69;;yes;
Q9BWD1;ACAT2;69;;;
Q96ES6;MFSD3;68;;;
Q9H6D7;HAUS4;68;;;
Q9UBU6;FAM8A1;67;;;
Q9NQZ5;STARD7;67;;;
Q8TCT9;HM13;67;;yes;
Q6P4A7;SFXN4;66;;;
Q9HC07;TMEM165;66;;;
Q9Y584;TIMM22;65;;;
P57105;SYNJ2BP;65;;;
P16615;ATP2A2;65;;yes;
O95202;LETM1;65;;;
Q9H3K2;GHITM;65;;;
P35790;CHKA;65;;;
Q9NQX7;ITM2C;64;;yes;
Q8WVC6;DCAKD;64;;;
Q10472;GALNT1;64;;yes;
Q14849;STARD3;63;;;
P28072;PSMB6;63;;yes;
Q10713;PMPCA;63;;;
O60499;STX10;63;;;
Q8IXH7;NELFCD;62;;;
O75071;EFCAB14;62;;;
Q99733;NAP1L4;62;;yes;
P16435;POR;62;;;
P06865;HEXA;62;;yes;
Q9Y6M9;NDUFB9;62;;;
Q01105;SET;62;;;
P42167;TMPO;61;;;
Q5XKP0;MICOS13;61;;;
Q96CP7;TLCD1;61;;;
O15127;SCAMP2;60;;;
Q14534;SQLE;60;;;
P46977;STT3A;60;;yes;
Q9NR28;DIABLO;60;;;
Q6NVV3;NIPAL1;60;;;
P10253;GAA;59;;yes;
Q969Q5;RAB24;59;;;
P41208;CETN2;58;;;
Q53GQ0;HSD17B12;58;;;
P06280;GLA;58;;;
O95249;GOSR1;58;;;
P27544;CERS1;57;;;
Q9BQT8;SLC25A21;57;;;
Q9H7Z7;PTGES2;57;;;
Q4ZIN3;TMEM259;57;;;
Q9UBV2;SEL1L;57;;;
Q9BT22;ALG1;57;;;
Q13641;TPBG;57;;yes;
P35613;BSG;56;;yes;
Q8IXM6;NRM;56;;;
Q8NB78;KDM1B;56;;;
Q92804;TAF15;56;;;
Q9Y3B3;TMED7;56;;;
Q8NHH9;ATL2;56;;;
Q9BTY2;FUCA2;55;;yes;
P17405;SMPD1;55;;yes;
P05067;APP;54;;yes;
O00400;SLC33A1;54;;;
O94927;HAUS5;54;;;
P27105;STOM;53;;yes;
Q9BUR5;APOO;53;;;
P28070;PSMB4;52;;;
O75298;RTN2;52;;;
Q8TCT8;SPPL2A;52;;;
Q9BRK5;SDF4;51;;yes;
Q9H2V7;SPNS1;51;;;
O43505;B4GAT1;51;;;
Q9UG56;PISD;51;;;
P50402;EMD;51;;;
Q7Z7H8;MRPL10;50;;;
P35637;FUS;50;;;
Q8N128;FAM177A1;50;;;
O75381;PEX14;50;;;
Q9H3N1;TMX1;50;;yes;
Q14566;MCM6;50;;;
Q96SK2;TMEM209;50;;;
P55209;NAP1L1;49;;yes;
P15586;GNS;49;;yes;
Q92896;GLG1;49;;yes;
Q96RQ1;ERGIC2;49;;;
Q7KZN9;COX15;49;;;
Q9UKU0;ACSL6;48;;;
Q9UQ84;EXO1;47;;;
O14979;HNRNPDL;47;;;
P40855;PEX19;47;;;
Q15067;ACOX1;47;;;
Q8TAD4;SLC30A5;46;;;
Q13432;UNC119;46;;;
Q8N8L6;ARL10;46;;;
P48735;IDH2;45;;;
Q9BXK5;BCL2L13;45;;;
P31942;HNRNPH3;45;;;
O43805;SSNA1;45;;;
P98179;RBM3;45;;;
Q92564;DCUN1D4;44;;;
Q5JRX3;PITRM1;44;;;
Q5T9L3;WLS;44;;;
Q8TAA9;VANGL1;44;;;
Q9H4A6;GOLPH3;44;;;
Q08722;CD47;44;;;
Q9NZ01;TECR;44;;;
O15254;ACOX3;44;;yes;
Q86UY6;NAA40;43;;;
Q8NF37;LPCAT1;43;;;
Q9NVI7;ATAD3A;43;;;
Q15005;SPCS2;43;;;
Q8NBM8;PCYOX1L;43;;;
O96000;NDUFB10;43;;yes;
Q92520;FAM3C;43;;;
P51790;CLCN3;43;;;
Q15041;ARL6IP1;43;;;
Q9BWH2;FUNDC2;43;;;
O14737;PDCD5;42;;;
Q8TBA6;GOLGA5;42;;;
Q5R3I4;TTC38;42;;;
Q7L0J3;SV2A;42;;yes;
O15269;SPTLC1;42;;;
Q9NUQ9;CYRIB;42;;yes;
Q7Z7F7;MRPL55;42;;;
Q08380;LGALS3BP;41;;yes;
Q9Y4P3;TBL2;41;;;
P22695;UQCRC2;41;;;
Q9P035;HACD3;41;;;
O60831;PRAF2;41;;yes;
Q8NBT2;SPC24;41;;;
Q96H78;SLC25A44;41;;;
Q9BXS4;TMEM59;41;;;
P52789;HK2;41;;;
O75880;SCO1;41;;;
O95302;FKBP9;41;;;
Q9Y5J9;TIMM8B;40;;;
P12235;SLC25A4;40;;;
Q15125;EBP;40;;;
Q9NPA0;EMC7;40;;;
Q5SNT2;TMEM201;40;;;
Q8WWV3;RTN4IP1;40;;;
P21912;SDHB;40;;;
Q14011;CIRBP;40;;;
Q9Y6I9;TEX264;40;;;
Q9H1Z9;TSPAN10;40;;yes;
Q9H7B4;SMYD3;39;;;
Q03518;TAP1;39;;;
P55263;ADK;39;;;
P62942;FKBP1A;39;;;
Q9HC21;SLC25A19;39;;;
L0R6Q1;SLC35A4;39;;;
O75431;MTX2;39;;;
Q9Y287;ITM2B;38;;yes;
P57088;TMEM33;38;;;
Q8NBN7;RDH13;38;;;
Q6ZT21;TMPPE;38;;;
Q8NCG7;DAGLB;38;;;
Q9NUG6;PDRG1;38;;;
O75718;CRTAP;37;;yes;
P53985;SLC16A1;37;;yes;
P13674;P4HA1;37;;;
P12236;SLC25A6;37;;;
P09960;LTA4H;37;;;
Q7RTS9;DYM;37;;;
Q8N8Q8;COX18;37;;;
P62072;TIMM10;37;;;
Q8N4A0;GALNT4;36;;;
Q9HC38;GLOD4;36;;;
Q8WVI0;SMIM4;36;;;
O60313;OPA1;36;;;
Q03164;KMT2A;36;;;
Q99805;TM9SF2;36;;yes;
Q9H6H4;REEP4;36;;;
P07196;NEFL;36;;;
Q32P28;P3H1;35;;yes;
A1L0T0;ILVBL;35;;;
P11279;LAMP1;35;;yes;
Q12981;BNIP1;35;;;
O75845;SC5D;35;;;
O00584;RNASET2;35;;yes;
O43493;TGOLN2;35;;yes;
P13473;LAMP2;34;;;
Q5KU26;COLEC12;34;;;
Q92542;NCSTN;34;;yes;
O76024;WFS1;34;;;
P48723;HSPA13;34;;;
Q96JJ7;TMX3;34;;;
Q6NUK1;SLC25A24;34;;;
Q9H2C2;ARV1;34;;;
O00116;AGPS;34;;;
Q8NEW0;SLC30A7;33;;;
P14174;MIF;33;;;
Q15388;TOMM20;33;;;
O00165;HAX1;33;;;
Q15904;ATP6AP1;33;;;
Q4J6C6;PREPL;33;;;
O75306;NDUFS2;33;;;
Q7Z3D4;LYSMD3;33;;;
Q9NPL8;TIMMDC1;33;;;
Q9NUD5;ZCCHC3;33;;;
Q96GC9;VMP1;32;;;
Q9Y512;SAMM50;32;;;
P84157;MXRA7;32;;;
Q6NUK4;REEP3;32;;;
Q9NUQ2;AGPAT5;32;;;
Q13011;ECH1;32;yes;yes;
Q9BT78;COPS4;32;;;
Q9Y2W6;TDRKH;31;;;
Q6NT16;SLC18B1;31;;;
P51572;BCAP31;31;;yes;
Q8IXJ6;SIRT2;31;;;
Q7Z2H8;SLC36A1;31;;;
Q969V3;NCLN;31;;;
O43752;STX6;31;;;
Q9BTE7;DCUN1D5;30;;;
O43292;GPAA1;30;;;
P08236;GUSB;30;;;
Q8N2H4;SYS1;30;;;
P04066;FUCA1;30;;;
Q6UXV4;APOOL;30;;;
Q7Z6M1;RABEPK;30;;;
Q9BU89;DOHH;30;;;
O75027;ABCB7;30;;;
Q9NX62;BPNT2;30;;yes;
P52597;HNRNPF;30;;;
P07197;NEFM;29;;;
P31943;HNRNPH1;29;;;
P51798;CLCN7;29;;;
P78417;GSTO1;29;;;
P49755;TMED10;29;;yes;
P56385;ATP5ME;29;;;
Q8IUX1;TMEM126B;29;;;
Q9H2J7;SLC6A15;29;;;
Q07820;MCL1;29;;;
P61916;NPC2;29;;yes;
Q9HBU6;ETNK1;29;;;
O15217;GSTA4;28;;;
Q99623;PHB2;28;;;
P55795;HNRNPH2;28;;;
Q96PU5;NEDD4L;28;;;
Q9Y248;GINS2;28;;;
Q96CN7;ISOC1;28;;;
O43681;GET3;28;;;
Q16799;RTN1;28;;;
Q00765;REEP5;28;;;
O43808;SLC25A17;28;;;
O43615;TIMM44;28;;;
Q9Y5Y5;PEX16;28;;;
Q96AY3;FKBP10;27;;;
O75874;IDH1;27;;;
P55899;FCGRT;27;;;
P82933;MRPS9;27;;;
Q8IYS2;KIAA2013;27;;;
P26368;U2AF2;27;;;
P50416;CPT1A;27;;;
P02786;TFRC;27;;yes;
Q96EX1;SMIM12;27;;;
Q9Y241;HIGD1A;27;;;
Q96AG4;LRRC59;27;;;
P05023;ATP1A1;27;;yes;
Q96HY6;DDRGK1;27;;;
Q15418;RPS6KA1;27;;;
P49356;FNTB;27;;;
P31751;AKT2;27;;;
O95433;AHSA1;27;;;
Q9BPZ3;PAIP2;27;;;
P28074;PSMB5;27;;;
P35670;ATP7B;27;;;
Q9H9P8;L2HGDH;27;;;
P06576;ATP5F1B;26;;;
Q9NVH6;TMLHE;26;;;
Q15907;RAB11B;26;;;
Q8TAE8;GADD45GIP1;26;;;
Q7Z2K6;ERMP1;26;;;
Q5H8A4;PIGG;26;;;
Q6NUQ4;TMEM214;26;;;
Q13190;STX5;26;;;
Q6NTF9;RHBDD2;26;;;
Q9H490;PIGU;26;;;
Q9BQG2;NUDT12;26;;;
Q8IUH4;ZDHHC13;26;;;
Q14168;MPP2;26;;;
Q16836;HADH;25;;;
Q15043;SLC39A14;25;;;
P51812;RPS6KA3;25;;;
Q7Z4Q2;HEATR3;25;;;
Q9H4I9;SMDT1;25;;;
Q9BV10;ALG12;25;;;
Q9Y3E0;GOLT1B;25;;;
P51571;SSR4;25;;;
Q9H330;TMEM245;25;;;
Q6NUQ1;RINT1;25;;;
Q96QD8;SLC38A2;25;;yes;
Q8IYU8;MICU2;25;;;
P40939;HADHA;25;;;
Q16352;INA;24;;yes;
Q14914;PTGR1;24;;;
Q86WK9;PAQR7;24;;;
Q9NRV9;HEBP1;24;;;
Q9NQE9;HINT3;24;;;
Q9NR31;SAR1A;24;;;
P0DP25;CALM3;24;;;
Q9Y320;TMX2;24;;;
P67809;YBX1;24;;;
P41440;SLC19A1;24;;yes;
O00625;PIR;24;;;
Q8TD16;BICD2;23;;;
Q9UH99;SUN2;23;;;
Q96DY7;MTBP;23;;;
Q9BS16;CENPK;23;;;
O43819;SCO2;23;;;
P35269;GTF2F1;23;;;
P30837;ALDH1B1;23;yes;yes;
Q8TED1;GPX8;23;;;
P07858;CTSB;23;;yes;
Q9NW15;ANO10;23;;;
Q96J42;TXNDC15;23;;;
O15121;DEGS1;23;;;
Q9GZP9;DERL2;23;;;
Q6NUM9;RETSAT;22;;;
Q5T9A4;ATAD3B;22;;;
P48449;LSS;22;;;
Q96CS2;HAUS1;22;;;
Q08J23;NSUN2;22;;;
Q9BY49;PECR;22;;;
P52292;KPNA2;22;;yes;
Q16891;IMMT;22;;yes;
Q9HDC9;APMAP;22;;yes;
Q96GQ5;RUSF1;22;;;
Q6KCM7;SLC25A25;22;;;
Q5VV42;CDKAL1;22;;;
Q99797;MIPEP;22;;;
Q9Y5J7;TIMM9;22;;;
P27824;CANX;21;;yes;
Q5BJH7;YIF1B;21;;;
P04035;HMGCR;21;;;
Q8IWA4;MFN1;21;;;
O15258;RER1;21;;;
O95674;CDS2;21;;;
Q9UBM7;DHCR7;21;;yes;
Q15012;LAPTM4A;21;;yes;
Q9P0U1;TOMM7;21;;;
Q9NU23;LYRM2;21;;;
O14657;TOR1B;21;;yes;
P20618;PSMB1;21;;;
Q99523;SORT1;20;;;
P30086;PEBP1;20;;;
P35610;SOAT1;20;;;
Q96K76;USP47;20;;;
Q01844;EWSR1;20;;;
Q9NTK5;OLA1;20;;yes;
P07437;TUBB;20;;;
Q9BPX6;MICU1;20;yes;;
Q2TAA5;ALG11;20;;;
Q8TEX9;IPO4;20;;yes;
Q9UBK9;UXT;20;;;
Q8NI60;COQ8A;20;;;
Q96S66;CLCC1;20;;;
P53582;METAP1;20;;;
Q9H7E9;C8orf33;20;;;
O75208;COQ9;20;;;
O00754;MAN2B1;19;;;
O76062;TM7SF2;19;;;
O15212;PFDN6;19;;;
P46934;NEDD4;19;;;
Q4KMQ2;ANO6;19;;;
O60506;SYNCRIP;19;;;
Q6ZXV5;TMTC3;19;;;
P10321;HLA-C;19;;;
O60858;TRIM13;19;;;
Q6P179;ERAP2;19;;;
O60443;GSDME;19;;yes;
Q16880;UGT8;19;;;
Q8NE01;CNNM3;19;;;
O15400;STX7;19;;;
P11717;IGF2R;19;;yes;
Q8N8N7;PTGR2;19;;;
Q5HYI8;RABL3;19;;;
Q9Y3A6;TMED5;19;;;
Q9BU23;LMF2;19;;;
P53634;CTSC;19;;;
O75976;CPD;19;;yes;
Q86VD7;SLC25A42;19;;;
P33991;MCM4;19;;;
Q8NFH4;NUP37;19;;;
Q9NSD9;FARSB;19;;;
O00231;PSMD11;19;;yes;
Q8NHS3;MFSD8;19;;;
Q9Y6J9;TAF6L;18;;;
Q92973;TNPO1;18;;yes;
Q9Y6M7;SLC4A7;18;;;
Q9UJ14;GGT7;18;;;
Q06481;APLP2;18;;yes;
Q99640;PKMYT1;18;;;
Q9Y371;SH3GLB1;18;;;
P98194;ATP2C1;18;;;
Q53H12;AGK;18;;;
P38159;RBMX;18;;;
P49257;LMAN1;18;;yes;
Q9UIJ7;AK3;18;;;
Q9UI14;RABAC1;18;;;
Q9NX63;CHCHD3;18;;;
Q86UT6;NLRX1;18;;;
P09493;TPM1;17;;yes;
P02545;LMNA;17;;;
O60476;MAN1A2;17;;;
Q9HA64;FN3KRP;17;;;
Q96RL7;VPS13A;17;;;
O00767;SCD;17;;;
P61026;RAB10;17;;yes;
Q9P0S9;TMEM14C;17;;;
Q86U38;NOP9;17;;;
Q9BVA1;TUBB2B;17;;;
Q6QHF9;PAOX;17;;;
Q6Y1H2;HACD2;17;;;
Q9UBS8;RNF14;17;;yes;
Q68CQ7;GLT8D1;17;;;
Q9H2J4;PDCL3;17;;;
Q96AA3;RFT1;17;;;
Q96ED9;HOOK2;17;;;
