"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"598","O43169",8,"CYB5B","PC_C391_E9_20x__PC_C391_F",-0.51,0.856542396849801
"599","O43169",8,"CYB5B","PC_C391_F__CRF",3.45,0.00024481218995842
"600","O43169",8,"CYB5B","screen_C391_F__CRF",4.31,4.535e-05
"601","P80303",7.98,"NUCB2","PC_C391_E1_20x__PC_C391_F",-0.59,0.850679555048739
"602","P80303",7.98,"NUCB2","PC_C391_E10_20x__PC_C391_F",-0.61,0.830847842066206
"603","P80303",7.98,"NUCB2","PC_C391_E4_20x__PC_C391_F",-1.05,0.340138849145706
"604","P80303",7.98,"NUCB2","PC_C391_E6_20x__PC_C391_F",-1.4,0.122713163483099
"605","P80303",7.98,"NUCB2","PC_C391_E8_20x__PC_C391_F",-0.73,0.695759408233872
"606","P80303",7.98,"NUCB2","PC_C391_E9_20x__PC_C391_F",-0.43,0.964484685764879
"607","P80303",7.98,"NUCB2","PC_C391_F__CRF",3.17,0.00118487025494407
"608","P80303",7.98,"NUCB2","screen_C391_F__CRF",5.83,4.353e-05
"609","Q6NVV3",7.92,"NIPAL1","PC_C391_E1_20x__PC_C391_F",-0.51,0.839055737880892
"610","Q6NVV3",7.92,"NIPAL1","PC_C391_E10_20x__PC_C391_F",-0.43,0.915502820865744
"611","Q6NVV3",7.92,"NIPAL1","PC_C391_E4_20x__PC_C391_F",-0.73,0.530601496994762
"612","Q6NVV3",7.92,"NIPAL1","PC_C391_E6_20x__PC_C391_F",-1.22,0.112901466676475
"613","Q6NVV3",7.92,"NIPAL1","PC_C391_E8_20x__PC_C391_F",-0.62,0.687655452928023
"614","Q6NVV3",7.92,"NIPAL1","PC_C391_E9_20x__PC_C391_F",-0.83,0.402949102298285
"615","Q6NVV3",7.92,"NIPAL1","PC_C391_F__CRF",3.58,0.00015366827570606
"616","Q6NVV3",7.92,"NIPAL1","screen_C391_F__CRF",NA,NA
"617","Q9Y2R0",7.91,"COA3","PC_C391_E1_20x__PC_C391_F",-0.73,0.552953019705227
"618","Q9Y2R0",7.91,"COA3","PC_C391_E10_20x__PC_C391_F",-0.48,0.887394157903535
"619","Q9Y2R0",7.91,"COA3","PC_C391_E4_20x__PC_C391_F",-0.91,0.341137252647863
"620","Q9Y2R0",7.91,"COA3","PC_C391_E6_20x__PC_C391_F",-1.45,0.0561471805691787
"621","Q9Y2R0",7.91,"COA3","PC_C391_E8_20x__PC_C391_F",-0.71,0.591887370596316
"622","Q9Y2R0",7.91,"COA3","PC_C391_E9_20x__PC_C391_F",-0.09,0.999995043140561
"623","Q9Y2R0",7.91,"COA3","PC_C391_F__CRF",3.54,0.00019590964710436
"624","Q9Y2R0",7.91,"COA3","screen_C391_F__CRF",6.64,0.00223177
"625","P55010",7.9,"EIF5","PC_C391_E1_20x__PC_C391_F",-0.72,0.665256113130283
"626","P55010",7.9,"EIF5","PC_C391_E10_20x__PC_C391_F",-0.42,0.95889520913384
"627","P55010",7.9,"EIF5","PC_C391_E4_20x__PC_C391_F",-0.83,0.530301607629322
"628","P55010",7.9,"EIF5","PC_C391_E6_20x__PC_C391_F",-1.23,0.177983574238866
"629","P55010",7.9,"EIF5","PC_C391_E8_20x__PC_C391_F",-0.89,0.461079690997619
"630","P55010",7.9,"EIF5","PC_C391_E9_20x__PC_C391_F",-0.52,0.896468461091947
"631","P55010",7.9,"EIF5","PC_C391_F__CRF",3.29,0.00068135627252607
"632","P55010",7.9,"EIF5","screen_C391_F__CRF",4.53,6.7e-07
"633","P55209",7.89,"NAP1L1","PC_C391_E1_20x__PC_C391_F",-0.75,0.544931719107535
"634","P55209",7.89,"NAP1L1","PC_C391_E10_20x__PC_C391_F",-0.45,0.917108701896967
"635","P55209",7.89,"NAP1L1","PC_C391_E4_20x__PC_C391_F",-0.75,0.548779276376315
"636","P55209",7.89,"NAP1L1","PC_C391_E6_20x__PC_C391_F",-1.19,0.142711383033976
"637","P55209",7.89,"NAP1L1","PC_C391_E8_20x__PC_C391_F",-0.95,0.308864065176843
"638","P55209",7.89,"NAP1L1","PC_C391_E9_20x__PC_C391_F",-0.58,0.775460690136933
"639","P55209",7.89,"NAP1L1","PC_C391_F__CRF",3.22,0.00041758949109527
"640","P55209",7.89,"NAP1L1","screen_C391_F__CRF",4.85,2.58e-06
"641","Q8NHP8",7.88,"PLBD2","PC_C391_E1_20x__PC_C391_F",-0.55,0.879765895300082
"642","Q8NHP8",7.88,"PLBD2","PC_C391_E10_20x__PC_C391_F",-0.71,0.713541765075269
"643","Q8NHP8",7.88,"PLBD2","PC_C391_E4_20x__PC_C391_F",-0.87,0.511833040707607
"644","Q8NHP8",7.88,"PLBD2","PC_C391_E6_20x__PC_C391_F",-1.27,0.174439431094554
"645","Q8NHP8",7.88,"PLBD2","PC_C391_E8_20x__PC_C391_F",-0.72,0.691948383171908
"646","Q8NHP8",7.88,"PLBD2","PC_C391_E9_20x__PC_C391_F",0.6,0.832239521606764
"647","Q8NHP8",7.88,"PLBD2","PC_C391_F__CRF",3.16,0.00112358555888159
"648","Q8NHP8",7.88,"PLBD2","screen_C391_F__CRF",4.39,4.707e-05
"649","Q13505",7.87,"MTX1","PC_C391_E1_20x__PC_C391_F",-0.58,0.900927088643616
"650","Q13505",7.87,"MTX1","PC_C391_E10_20x__PC_C391_F",-0.28,0.99788034462805
"651","Q13505",7.87,"MTX1","PC_C391_E4_20x__PC_C391_F",-1.12,0.363498424264744
"652","Q13505",7.87,"MTX1","PC_C391_E6_20x__PC_C391_F",-1.2,0.299104810851685
"653","Q13505",7.87,"MTX1","PC_C391_E8_20x__PC_C391_F",-0.82,0.665732069876127
"654","Q13505",7.87,"MTX1","PC_C391_E9_20x__PC_C391_F",-0.37,0.989949354810722
"655","Q13505",7.87,"MTX1","PC_C391_F__CRF",3.5,0.0011086809719959
"656","Q13505",7.87,"MTX1","screen_C391_F__CRF",4.72,6.192e-05
"657","Q96DY7",7.75,"MTBP","PC_C391_E1_20x__PC_C391_F",-0.56,0.905101547165494
"658","Q96DY7",7.75,"MTBP","PC_C391_E10_20x__PC_C391_F",-0.23,0.999277777552293
"659","Q96DY7",7.75,"MTBP","PC_C391_E4_20x__PC_C391_F",-0.74,0.739720048805683
"660","Q96DY7",7.75,"MTBP","PC_C391_E6_20x__PC_C391_F",-1.33,0.198593166404754
"661","Q96DY7",7.75,"MTBP","PC_C391_E8_20x__PC_C391_F",-0.75,0.729206289301667
"662","Q96DY7",7.75,"MTBP","PC_C391_E9_20x__PC_C391_F",-0.83,0.642445291946725
"663","Q96DY7",7.75,"MTBP","PC_C391_F__CRF",3.31,0.00139628012965176
"664","Q96DY7",7.75,"MTBP","screen_C391_F__CRF",3.57,9.041e-05
"665","Q9Y277",7.68,"VDAC3","PC_C391_E1_20x__PC_C391_F",-0.47,0.831705912355737
"666","Q9Y277",7.68,"VDAC3","PC_C391_E10_20x__PC_C391_F",-0.74,0.421425299030383
"667","Q9Y277",7.68,"VDAC3","PC_C391_E4_20x__PC_C391_F",-0.82,0.318767793903804
"668","Q9Y277",7.68,"VDAC3","PC_C391_E6_20x__PC_C391_F",-1.18,0.0850163568052201
"669","Q9Y277",7.68,"VDAC3","PC_C391_E8_20x__PC_C391_F",-0.84,0.300623368484666
"670","Q9Y277",7.68,"VDAC3","PC_C391_E9_20x__PC_C391_F",-0.51,0.773949432277279
"671","Q9Y277",7.68,"VDAC3","PC_C391_F__CRF",3.12,0.00020168873592219
"672","Q9Y277",7.68,"VDAC3","screen_C391_F__CRF",3.48,0.00519112
"673","P07602",7.58,"PSAP","PC_C391_E1_20x__PC_C391_F",-0.52,0.912591095030459
"674","P07602",7.58,"PSAP","PC_C391_E10_20x__PC_C391_F",-0.57,0.873556895700725
"675","P07602",7.58,"PSAP","PC_C391_E4_20x__PC_C391_F",-0.92,0.478036153261625
"676","P07602",7.58,"PSAP","PC_C391_E6_20x__PC_C391_F",-1.2,0.229216182268942
"677","P07602",7.58,"PSAP","PC_C391_E8_20x__PC_C391_F",-0.95,0.447779389090462
"678","P07602",7.58,"PSAP","PC_C391_E9_20x__PC_C391_F",-0.2,0.999529933469466
"679","P07602",7.58,"PSAP","PC_C391_F__CRF",3.22,0.00113413830636411
"680","P07602",7.58,"PSAP","screen_C391_F__CRF",4.35,NA
"681","Q9HD20",7.52,"ATP13A1","PC_C391_E1_20x__PC_C391_F",-0.4,0.96988598868727
"682","Q9HD20",7.52,"ATP13A1","PC_C391_E10_20x__PC_C391_F",-0.19,0.999580340212603
"683","Q9HD20",7.52,"ATP13A1","PC_C391_E4_20x__PC_C391_F",-0.65,0.766206100872748
"684","Q9HD20",7.52,"ATP13A1","PC_C391_E6_20x__PC_C391_F",-1.31,0.141914943838317
"685","Q9HD20",7.52,"ATP13A1","PC_C391_E8_20x__PC_C391_F",-0.85,0.50771677090515
"686","Q9HD20",7.52,"ATP13A1","PC_C391_E9_20x__PC_C391_F",-0.77,0.614253599545692
"687","Q9HD20",7.52,"ATP13A1","PC_C391_F__CRF",3.35,0.00062960553224
"688","Q9HD20",7.52,"ATP13A1","screen_C391_F__CRF",4.6,4e-08
"689","Q99733",7.5,"NAP1L4","PC_C391_E1_20x__PC_C391_F",-0.72,0.629988177993435
"690","Q99733",7.5,"NAP1L4","PC_C391_E10_20x__PC_C391_F",-0.38,0.971458824798532
"691","Q99733",7.5,"NAP1L4","PC_C391_E4_20x__PC_C391_F",-0.65,0.724509113634074
"692","Q99733",7.5,"NAP1L4","PC_C391_E6_20x__PC_C391_F",-1.17,0.180515785792929
"693","Q99733",7.5,"NAP1L4","PC_C391_E8_20x__PC_C391_F",-0.9,0.410496201247057
"694","Q99733",7.5,"NAP1L4","PC_C391_E9_20x__PC_C391_F",-0.54,0.853080852116532
"695","Q99733",7.5,"NAP1L4","PC_C391_F__CRF",3.14,0.00072651879224772
"696","Q99733",7.5,"NAP1L4","screen_C391_F__CRF",4.52,2.2e-06
"697","Q8WXF1",7.44,"PSPC1","PC_C391_E1_20x__PC_C391_F",-0.58,0.772885765026828
"698","Q8WXF1",7.44,"PSPC1","PC_C391_E10_20x__PC_C391_F",-0.56,0.803075621483063
"699","Q8WXF1",7.44,"PSPC1","PC_C391_E4_20x__PC_C391_F",-0.85,0.416225888489173
"700","Q8WXF1",7.44,"PSPC1","PC_C391_E6_20x__PC_C391_F",-1.12,0.174694887317962
"701","Q8WXF1",7.44,"PSPC1","PC_C391_E8_20x__PC_C391_F",-0.88,0.374208100675169
"702","Q8WXF1",7.44,"PSPC1","PC_C391_E9_20x__PC_C391_F",-0.37,0.967080747676128
"703","Q8WXF1",7.44,"PSPC1","PC_C391_F__CRF",3.08,0.00056385641283063
"704","Q8WXF1",7.44,"PSPC1","screen_C391_F__CRF",4.65,7.9e-07
"705","O60476",7.43,"MAN1A2","PC_C391_E1_20x__PC_C391_F",-0.56,0.800162464477103
"706","O60476",7.43,"MAN1A2","PC_C391_E10_20x__PC_C391_F",-0.51,0.855368706873928
"707","O60476",7.43,"MAN1A2","PC_C391_E4_20x__PC_C391_F",-0.77,0.511102515061248
"708","O60476",7.43,"MAN1A2","PC_C391_E6_20x__PC_C391_F",-1.01,0.253853422759524
"709","O60476",7.43,"MAN1A2","PC_C391_E8_20x__PC_C391_F",-0.63,0.703295594605703
"710","O60476",7.43,"MAN1A2","PC_C391_E9_20x__PC_C391_F",-0.81,0.462395696502001
"711","O60476",7.43,"MAN1A2","PC_C391_F__CRF",3.14,0.00048420719398067
"712","O60476",7.43,"MAN1A2","screen_C391_F__CRF",4.49,2.223e-05
"713","Q15075",7.31,"EEA1","PC_C391_E1_20x__PC_C391_F",-0.4,0.931553824205827
"714","Q15075",7.31,"EEA1","PC_C391_E10_20x__PC_C391_F",-0.69,0.550404332357828
"715","Q15075",7.31,"EEA1","PC_C391_E4_20x__PC_C391_F",-0.83,0.363486943813528
"716","Q15075",7.31,"EEA1","PC_C391_E6_20x__PC_C391_F",-1.08,0.153141251174722
"717","Q15075",7.31,"EEA1","PC_C391_E8_20x__PC_C391_F",-0.81,0.385793843481581
"718","Q15075",7.31,"EEA1","PC_C391_E9_20x__PC_C391_F",-0.49,0.837297509740599
"719","Q15075",7.31,"EEA1","PC_C391_F__CRF",3.01,0.00039315621573654
"720","Q15075",7.31,"EEA1","screen_C391_F__CRF",3.39,1.087e-05
"721","P05783",7.19,"KRT18","PC_C391_E1_20x__PC_C391_F",-0.5,0.939592441470805
"722","P05783",7.19,"KRT18","PC_C391_E10_20x__PC_C391_F",-0.39,0.980875557283495
"723","P05783",7.19,"KRT18","PC_C391_E4_20x__PC_C391_F",-0.85,0.595406932057121
"724","P05783",7.19,"KRT18","PC_C391_E6_20x__PC_C391_F",-1.13,0.308877123562606
"725","P05783",7.19,"KRT18","PC_C391_E8_20x__PC_C391_F",-0.74,0.715706332455769
"726","P05783",7.19,"KRT18","PC_C391_E9_20x__PC_C391_F",0.03,0.999999999617743
"727","P05783",7.19,"KRT18","PC_C391_F__CRF",3.55,0.00071405445473671
"728","P05783",7.19,"KRT18","screen_C391_F__CRF",5.89,5.5e-07
"729","Q6DKK2",7.15,"TTC19","PC_C391_E1_20x__PC_C391_F",-0.52,0.841241571599032
"730","Q6DKK2",7.15,"TTC19","PC_C391_E10_20x__PC_C391_F",-0.61,0.728481310384121
"731","Q6DKK2",7.15,"TTC19","PC_C391_E4_20x__PC_C391_F",-0.86,0.392170622506608
"732","Q6DKK2",7.15,"TTC19","PC_C391_E6_20x__PC_C391_F",-1.23,0.117715998020018
"733","Q6DKK2",7.15,"TTC19","PC_C391_E8_20x__PC_C391_F",-0.76,0.51736440292821
"734","Q6DKK2",7.15,"TTC19","PC_C391_E9_20x__PC_C391_F",-0.19,0.999076894565295
"735","Q6DKK2",7.15,"TTC19","PC_C391_F__CRF",2.98,0.00065043492840832
"736","Q6DKK2",7.15,"TTC19","screen_C391_F__CRF",3.86,8.57e-06
"737","Q14257",7.14,"RCN2","PC_C391_E1_20x__PC_C391_F",-0.45,0.959234768866281
"738","Q14257",7.14,"RCN2","PC_C391_E10_20x__PC_C391_F",-0.44,0.963250042034443
"739","Q14257",7.14,"RCN2","PC_C391_E4_20x__PC_C391_F",-0.79,0.65978407373736
"740","Q14257",7.14,"RCN2","PC_C391_E6_20x__PC_C391_F",-0.96,0.463546610592392
"741","Q14257",7.14,"RCN2","PC_C391_E8_20x__PC_C391_F",-0.82,0.615194846298872
"742","Q14257",7.14,"RCN2","PC_C391_E9_20x__PC_C391_F",-0.08,0.999999493746452
"743","Q14257",7.14,"RCN2","PC_C391_F__CRF",3.6,0.00061762157151645
"744","Q14257",7.14,"RCN2","screen_C391_F__CRF",5.71,6.6e-07
"745","P43307",7.07,"SSR1","PC_C391_E1_20x__PC_C391_F",-0.42,0.934079124341686
"746","P43307",7.07,"SSR1","PC_C391_E10_20x__PC_C391_F",-0.61,0.739635625853013
"747","P43307",7.07,"SSR1","PC_C391_E4_20x__PC_C391_F",-0.81,0.462060963885598
"748","P43307",7.07,"SSR1","PC_C391_E6_20x__PC_C391_F",-1.18,0.144002499184893
"749","P43307",7.07,"SSR1","PC_C391_E8_20x__PC_C391_F",-0.71,0.592127652786085
"750","P43307",7.07,"SSR1","PC_C391_E9_20x__PC_C391_F",-0.23,0.99772686219794
"751","P43307",7.07,"SSR1","PC_C391_F__CRF",3.11,0.00052516120050649
"752","P43307",7.07,"SSR1","screen_C391_F__CRF",5.76,0.00686579
"753","Q8WUJ1",7.04,"CYB5D2","PC_C391_E1_20x__PC_C391_F",-0.41,0.642621904069488
"754","Q8WUJ1",7.04,"CYB5D2","PC_C391_E10_20x__PC_C391_F",-0.09,0.999793420915925
"755","Q8WUJ1",7.04,"CYB5D2","PC_C391_E4_20x__PC_C391_F",-0.61,0.252791338169033
"756","Q8WUJ1",7.04,"CYB5D2","PC_C391_E6_20x__PC_C391_F",-0.88,0.0583328562825719
"757","Q8WUJ1",7.04,"CYB5D2","PC_C391_E8_20x__PC_C391_F",-0.26,0.935792730872414
"758","Q8WUJ1",7.04,"CYB5D2","PC_C391_E9_20x__PC_C391_F",-0.51,0.415235136032901
"759","Q8WUJ1",7.04,"CYB5D2","PC_C391_F__CRF",4.28,1.09734511666293e-06
"760","Q8WUJ1",7.04,"CYB5D2","screen_C391_F__CRF",6.43,NA
"761","P08183",6.86,"ABCB1","PC_C391_E1_20x__PC_C391_F",-0.5,0.980148673697845
"762","P08183",6.86,"ABCB1","PC_C391_E10_20x__PC_C391_F",-0.68,0.915953663523392
"763","P08183",6.86,"ABCB1","PC_C391_E4_20x__PC_C391_F",-1.11,0.559797658027506
"764","P08183",6.86,"ABCB1","PC_C391_E6_20x__PC_C391_F",-0.75,0.871904040975909
"765","P08183",6.86,"ABCB1","PC_C391_E8_20x__PC_C391_F",-0.61,0.949919894016783
"766","P08183",6.86,"ABCB1","PC_C391_E9_20x__PC_C391_F",-0.24,0.999758339942775
"767","P08183",6.86,"ABCB1","PC_C391_F__CRF",2.97,0.0112104380993472
"768","P08183",6.86,"ABCB1","screen_C391_F__CRF",4.13,5.12e-06
"769","P08670",6.72,"VIM","PC_C391_E1_20x__PC_C391_F",-0.47,0.957437507846992
"770","P08670",6.72,"VIM","PC_C391_E10_20x__PC_C391_F",-0.47,0.957577069004552
"771","P08670",6.72,"VIM","PC_C391_E4_20x__PC_C391_F",-0.73,0.748288966004187
"772","P08670",6.72,"VIM","PC_C391_E6_20x__PC_C391_F",-1.19,0.287411015633027
"773","P08670",6.72,"VIM","PC_C391_E8_20x__PC_C391_F",-0.76,0.71673637151658
"774","P08670",6.72,"VIM","PC_C391_E9_20x__PC_C391_F",-0.06,0.999999895092234
"775","P08670",6.72,"VIM","PC_C391_F__CRF",3.04,0.00247580756126931
"776","P08670",6.72,"VIM","screen_C391_F__CRF",5.49,4.5e-07
"777","P50897",6.57,"PPT1","PC_C391_E1_20x__PC_C391_F",-0.35,0.981078267399959
"778","P50897",6.57,"PPT1","PC_C391_E10_20x__PC_C391_F",-0.37,0.974917234772515
"779","P50897",6.57,"PPT1","PC_C391_E4_20x__PC_C391_F",-0.85,0.482492000247023
"780","P50897",6.57,"PPT1","PC_C391_E6_20x__PC_C391_F",-1.06,0.275165805291966
"781","P50897",6.57,"PPT1","PC_C391_E8_20x__PC_C391_F",-0.68,0.700166328510312
"782","P50897",6.57,"PPT1","PC_C391_E9_20x__PC_C391_F",0.08,0.999998136028998
"783","P50897",6.57,"PPT1","PC_C391_F__CRF",3.18,0.00076092913516712
"784","P50897",6.57,"PPT1","screen_C391_F__CRF",4.41,8.52e-06
"785","O95831",5.91,"AIFM1","PC_C391_E1_20x__PC_C391_F",0,1
"786","O95831",5.91,"AIFM1","PC_C391_E10_20x__PC_C391_F",-0.52,0.887224007021848
"787","O95831",5.91,"AIFM1","PC_C391_E4_20x__PC_C391_F",-0.67,0.728380703774561
"788","O95831",5.91,"AIFM1","PC_C391_E6_20x__PC_C391_F",-0.63,0.775726917034832
"789","O95831",5.91,"AIFM1","PC_C391_E8_20x__PC_C391_F",-0.64,0.766821324699754
"790","O95831",5.91,"AIFM1","PC_C391_E9_20x__PC_C391_F",-0.42,0.956961230910374
"791","O95831",5.91,"AIFM1","PC_C391_F__CRF",3.03,0.00117497771494657
"792","O95831",5.91,"AIFM1","screen_C391_F__CRF",5.18,2.7e-07
"793","O43676",5.66,"NDUFB3","PC_C391_E1_20x__PC_C391_F",-0.32,0.982141921478663
"794","O43676",5.66,"NDUFB3","PC_C391_E10_20x__PC_C391_F",-0.17,0.99963425733106
"795","O43676",5.66,"NDUFB3","PC_C391_E4_20x__PC_C391_F",-0.68,0.637860898378694
"796","O43676",5.66,"NDUFB3","PC_C391_E6_20x__PC_C391_F",-0.78,0.492046731760109
"797","O43676",5.66,"NDUFB3","PC_C391_E8_20x__PC_C391_F",-0.58,0.76996811806855
"798","O43676",5.66,"NDUFB3","PC_C391_E9_20x__PC_C391_F",0.1,0.999991613892789
"799","O43676",5.66,"NDUFB3","PC_C391_F__CRF",3.03,0.00060895369501945
"800","O43676",5.66,"NDUFB3","screen_C391_F__CRF",4.93,NA
