A0A1B0GTU1	ZC3H11B
Q6IN84	MRM1
Q6IN85	PPP4R3A
Q6IPU0	CENPP
Q6IQ16	SPOPL
Q6IQ22	RAB12
Q6IQ23	PLEKHA7
Q6IQ49	SDE2
Q6JQN1	ACAD10
Q6KB66	KRT80
Q6KC79	NIPBL
Q6KCM7	SLC25A25
Q6L8Q7	PDE12
Q6MZW2	FSTL4
Q6N069	NAA16
Q6N075	MFSD5
Q6NSI4	CXorf57
Q6NSJ5	LRRC8E
Q6NT16	SLC18B1
Q6NTF9	RHBDD2
Q6NUK1	SLC25A24
Q6NUK4	REEP3
Q6NUM9	RETSAT
Q6NUQ1	RINT1
Q6NUQ4	TMEM214
Q6NUS6	TCTN3
Q6NVV3	NIPAL1
Q6NVY1	HIBCH
Q6NW34	NEPRO
Q6NXE6	ARMC6
Q6NXR4	TTI2
Q6NXT1	ANKRD54
Q6NXT4	SLC30A6
Q6NYC1	JMJD6
Q6NZ67	MZT2B
Q6NZY4	ZCCHC8
Q6P087	RPUSD3
Q6P0N0	MIS18BP1
Q6P158	DHX57
Q6P179	ERAP2
Q6P1A2	LPCAT3
Q6P1J9	CDC73
Q6P1K2	PMF1
Q6P1L5	FAM117B
Q6P1L8	MRPL14
Q6P1M0	SLC27A4
Q6P1N0	CC2D1A
Q6P1N9	TATDN1
Q6P1Q0	LETMD1
Q6P1Q9	METTL2B
Q6P1R4	DUS1L
Q6P1S2	C3orf33
Q6P1X5	TAF2
Q6P2C8	MED27
Q6P2E9	EDC4
Q6P2H3	CEP85
Q6P2P2	PRMT9
Q6P2Q9	PRPF8
Q6P2S7	TTC41P
Q6P3W7	SCYL2
Q6P3X3	TTC27
Q6P444	MTFR2
Q6P4A7	SFXN4
Q6P4E1	GOLM2
Q6P4F7	ARHGAP11A
Q6P4I2	WDR73
Q6P4Q7	CNNM4
Q6P4R8	NFRKB
Q6P582	MZT2A
Q6P587	FAHD1
Q6P597	KLC3
Q6P5S2	C6orf58
Q6P5Z2	PKN3
Q6P6C2	ALKBH5
Q6P996	PDXDC1
Q6P9B6	MEAK7
Q6P9B9	INTS5
Q6P9F7	LRRC8B
Q6PCB5	RSBN1L
Q6PCB8	EMB
Q6PCE3	PGM2L1
Q6PD62	CTR9
Q6PD74	AAGAB
Q6PGP7	TTC37
Q6PHR2	ULK3
Q6PI48	DARS2
Q6PI78	TMEM65
Q6PID6	TTC33
Q6PIJ6	FBXO38
Q6PIU2	NCEH1
Q6PIW4	FIGNL1
Q6PIY7	PAPD4
Q6PJ69	TRIM65
Q6PJG2	ELMSAN1
Q6PJG6	BRAT1
Q6PJT7	ZC3H14
Q6PJW8	CNST
Q6PK04	CCDC137
Q6PK18	OGFOD3
Q6PKG0	LARP1
Q6PL18	ATAD2
Q6PL24	TMED8
Q6PML9	SLC30A9
Q6QHF9	PAOX
Q6R327	RICTOR
Q6RFH5	WDR74
Q6RW13	AGTRAP
Q6SPF0	SAMD1
Q6STE5	SMARCD3
Q6SZW1	SARM1
Q6U841	SLC4A10
Q6UB35	MTHFD1L
Q6ULP2	AFTPH
Q6UN15	FIP1L1
Q6UVJ0	SASS6
Q6UW02	CYP20A1
Q6UW63	KDELC1
Q6UW68	TMEM205
Q6UW78	UQCC3
Q6UWE0	LRSAM1
Q6UWP2	DHRS11
Q6UWP7	LCLAT1
Q6UWP8	SBSN
Q6UWU4	C6orf89
Q6UWW8	CES3
Q6UX04	CWC27
Q6UX07	DHRS13
Q6UX53	METTL7B
Q6UXD5	SEZ6L2
Q6UXH1	CRELD2
Q6UXN9	WDR82
Q6UXV4	APOOL
Q6VMQ6	ATF7IP
Q6VY07	PACS1
Q6W2J9	BCOR
Q6WCQ1	MPRIP
Q6WKZ4	RAB11FIP1
Q6XZF7	DNMBP
Q6Y1H2	HACD2
Q6Y2X3	DNAJC14
Q6Y7W6	GIGYF2
Q6YHK3	CD109
Q6YHU6	THADA
Q6YN16	HSDL2
Q6YP21	KYAT3
Q6ZMG9	CERS6
Q6ZMI0	PPP1R21
Q6ZMR3	LDHAL6A
Q6ZN17	LIN28B
Q6ZNB6	NFXL1
Q6ZNW5	GDPGP1
Q6ZPD9	DPY19L3
Q6ZQQ6	WDR87
Q6ZRI6	C15orf39
Q6ZRP7	QSOX2
Q6ZRQ5	MMS22L
Q6ZRS2	SRCAP
Q6ZRY4	RBPMS2
Q6ZSJ8	C1orf122
Q6ZSR9	Q6ZSR9
Q6ZSZ5	ARHGEF18
Q6ZT21	TMPPE
Q6ZU35	KIAA1211
Q6ZU65	UBN2
Q6ZUT9	DENND5B
Q6ZVM7	TOM1L2
Q6ZVX7	NCCRP1
Q6ZW31	SYDE1
Q6ZW49	PAXIP1
Q6ZWJ1	STXBP4
Q6ZWT7	MBOAT2
Q6ZXV5	TMTC3
Q709C8	VPS13C
Q709F0	ACAD11
Q70CQ2	USP34
Q70CQ3	USP30
Q70HW3	SLC25A26
Q70UQ0	IKBIP
Q70Z53	FRA10AC1
Q719H9	KCTD1
Q71DI3	H3C15*
Q71F23	CENPU
Q71RC2	LARP4
Q71RG4	TMUB2
Q71SY5	MED25
Q75QN2	INTS8
Q765P7	MTSS1L
Q76FK4	NOL8
Q7KYR7	BTN2A1
Q7KZ85	SUPT6H
Q7KZF4	SND1
Q7KZI7	MARK2
Q7KZN9	COX15
Q7L014	DDX46
Q7L099	RUFY3
Q7L0J3	SV2A
Q7L0Y3	TRMT10C
Q7L1Q6	BZW1
Q7L211	ABHD13
Q7L266	ASRGL1
Q7L2E3	DHX30
Q7L2H7	EIF3M
Q7L2J0	MEPCE
Q7L2Z9	CENPQ
Q7L311	ARMCX2
Q7L3T8	PARS2
Q7L4I2	RSRC2
Q7L523	RRAGA
Q7L576	CYFIP1
Q7L590	MCM10
Q7L592	NDUFAF7
Q7L5D6	GET4
Q7L5N1	COPS6
Q7L5N7	LPCAT2
Q7L5Y9	MAEA
Q7L7V1	DHX32
Q7L7X3	TAOK1
Q7L804	RAB11FIP2
Q7L8L6	FASTKD5
Q7L8W6	DPH6
Q7LBC6	KDM3B
Q7LG56	RRM2B
Q7LGA3	HS2ST1
Q7RTP6	MICAL3
Q7RTS9	DYM
Q7RTV0	PHF5A
Q7RTY8	TMPRSS7
Q7Z2H8	SLC36A1
Q7Z2K6	ERMP1
Q7Z2K8	GPRIN1
Q7Z2T5	TRMT1L
Q7Z2W4	ZC3HAV1
Q7Z2W9	MRPL21
Q7Z2Z2	EFL1
Q7Z392	TRAPPC11
Q7Z3B0	SMIM15
Q7Z3B4	NUP54
Q7Z3C6	ATG9A
Q7Z3D4	LYSMD3
Q7Z3E5	ARMC9
Q7Z3J2	C16orf62
Q7Z3K3	POGZ
Q7Z3T8	ZFYVE16
Q7Z3U7	MON2
Q7Z406	MYH14
Q7Z417	NUFIP2
Q7Z434	MAVS
Q7Z460	CLASP1
Q7Z478	DHX29
Q7Z494	NPHP3
Q7Z4G1	COMMD6
Q7Z4G4	TRMT11
Q7Z4H3	HDDC2
Q7Z4H7	HAUS6
Q7Z4H8	KDELC2
Q7Z4L5	TTC21B
Q7Z4Q2	HEATR3
Q7Z4S6	KIF21A
Q7Z4V5	HDGFL2
Q7Z4W1	DCXR
Q7Z569	BRAP
Q7Z589	EMSY
Q7Z5G4	GOLGA7
Q7Z5J4	RAI1
Q7Z5K2	WAPL
Q7Z5L9	IRF2BP2
Q7Z628	NET1
Q7Z6E9	RBBP6
Q7Z6I8	C5orf24
Q7Z6J0	SH3RF1
Q7Z6J8	UBE3D
Q7Z6K3	PTAR1
Q7Z6K5	ARPIN
Q7Z6M1	RABEPK
Q7Z6M4	MTERF4
Q7Z6R9	TFAP2D
Q7Z6Z7	HUWE1
Q7Z736	PLEKHH3
Q7Z739	YTHDF3
Q7Z7A4	PXK
Q7Z7C8	TAF8
Q7Z7E8	UBE2Q1
Q7Z7F7	MRPL55
Q7Z7H5	TMED4
Q7Z7H8	MRPL10
Q7Z7K6	CENPV
Q7Z7L1	SLFN11
Q86SE5	RALYL
Q86SF2	GALNT7
Q86SG5	S100A7A
Q86SK9	SCD5
Q86SQ0	PHLDB2
Q86SQ9	DHDDS
Q86SX3	TEDC1
Q86SX6	GLRX5
Q86SZ2	TRAPPC6B
Q86T24	ZBTB33
Q86TB9	PATL1
Q86TI0	TBC1D1
Q86TI2	DPP9
Q86TL2	STIMATE
Q86TM6	SYVN1
Q86TP1	PRUNE1
Q86TU7	SETD3
Q86TV6	TTC7B
Q86TW2	ADCK1
Q86TX2	ACOT1
Q86U06	RBM23
Q86U28	ISCA2
Q86U38	NOP9
Q86U42	PABPN1
Q86U44	METTL3
Q86U70	LDB1
Q86U86	PBRM1
Q86U90	YRDC
Q86UA1	PRPF39
Q86UE4	MTDH
Q86UE8	TLK2
Q86UK7	ZNF598
Q86UL3	GPAT4
Q86UP2	KTN1
Q86UP3	ZFHX4
Q86US8	SMG6
Q86UT6	NLRX1
Q86UV5	USP48
Q86UW6	N4BP2
Q86UY6	NAA40
Q86UY8	NT5DC3
Q86V21	AACS
Q86V48	LUZP1
Q86V59	PNMA8A
Q86V81	ALYREF
Q86V85	GPR180
Q86V87	FAM160B2
Q86VD7	SLC25A42
Q86VI3	IQGAP3
Q86VM9	ZC3H18
Q86VN1	VPS36
Q86VP1	TAX1BP1
Q86VP3	PACS2
Q86VP6	CAND1
Q86VR2	RETREG3
Q86VS8	HOOK3
Q86VU5	COMTD1
Q86VX2	COMMD7
Q86VX9	MON1A
Q86W42	THOC6
Q86W50	METTL16
Q86W56	PARG
Q86W74	ANKRD46
Q86W92	PPFIBP1
Q86WA6	BPHL
Q86WA8	LONP2
Q86WA9	SLC26A11
Q86WB0	ZC3HC1
Q86WC4	OSTM1
Q86WJ1	CHD1L
Q86WK9	PAQR7
Q86WQ0	NR2C2AP
Q86WR0	CCDC25
Q86WT1	TTC30A
Q86WX3	RPS19BP1
Q86X02	CDR2L
Q86X10	RALGAPB
Q86X53	ERICH1
Q86X55	CARM1
Q86X76	NIT1
Q86X83	COMMD2
Q86X95	CIR1
Q86XA9	HEATR5A
Q86XI2	NCAPG2
Q86XL3	ANKLE2
Q86XP3	DDX42
Q86XZ4	SPATS2
Q86Y07	VRK2
Q86Y37	CACUL1
Q86Y39	NDUFA11
Q86Y56	DNAAF5
Q86Y82	STX12
Q86Y91	KIF18B
Q86YB8	ERO1B
Q86YD1	PTOV1
Q86YH6	PDSS2
Q86YM7	HOMER1
Q86YN1	DOLPP1
Q86YP4	GATAD2A
Q86YQ8	CPNE8
Q86YR5	GPSM1
Q86YS6	RAB43
Q86YS7	C2CD5
Q86YT6	MIB1
Q86YV9	HPS6
Q8IU60	DCP2
Q8IU81	IRF2BP1
Q8IUD2	ERC1
Q8IUE6	HIST2H2AB
Q8IUF8	RIOX2
Q8IUH3	RBM45
Q8IUH4	ZDHHC13
Q8IUI8	CRLF3
Q8IUR0	TRAPPC5
Q8IUR7	ARMC8
Q8IUX1	TMEM126B
Q8IUX4	APOBEC3F
Q8IV08	PLD3
Q8IV48	ERI1
Q8IV63	VRK3
Q8IVD9	NUDCD3
Q8IVF4	DNAH10
Q8IVH4	MMAA
Q8IVL6	P3H3
Q8IVP5	FUNDC1
Q8IVS2	MCAT
Q8IVV7	GID4
Q8IVW1	ARL17A*
Q8IVW6	ARID3B
Q8IW35	CEP97
Q8IW41	MAPKAPK5
Q8IW75	SERPINA12
Q8IW92	GLB1L2
Q8IWA0	WDR75
Q8IWA4	MFN1
Q8IWA5	SLC44A2
Q8IWB1	ITPRIP
Q8IWB9	TEX2
Q8IWC1	MAP7D3
Q8IWD4	CCDC117
Q8IWE2	FAM114A1
Q8IWE4	DCUN1D3
Q8IWF2	FOXRED2
Q8IWF6	DENND6A
Q8IWI9	MGA
Q8IWJ2	GCC2
Q8IWP9	CCDC28A
Q8IWQ3	BRSK2
Q8IWR0	ZC3H7A
Q8IWS0	PHF6
Q8IWT6	LRRC8A
Q8IWV7	UBR1
Q8IWV8	UBR2
Q8IWW6	ARHGAP12
Q8IWX8	CHERP
Q8IWY9	CDAN1
Q8IWZ3	ANKHD1
Q8IWZ8	SUGP1
Q8IX01	SUGP2
Q8IX04	UEVLD
Q8IX05	CD302
Q8IX12	CCAR1
Q8IX18	DHX40
Q8IX90	SKA3
Q8IXB1	DNAJC10
Q8IXH7	NELFCD
Q8IXI1	RHOT2
Q8IXI2	RHOT1
Q8IXJ6	SIRT2
Q8IXK0	PHC2
Q8IXM2	BAP18
Q8IXM3	MRPL41
Q8IXM6	NRM
Q8IXQ6	PARP9
Q8IXT5	RBM12B
Q8IXU6	SLC35F2
Q8IXW5	RPAP2
Q8IY17	PNPLA6
Q8IY18	SMC5
Q8IY37	DHX37
Q8IY67	RAVER1
Q8IY81	FTSJ3
Q8IY95	TMEM192
Q8IYA6	CKAP2L
Q8IYB3	SRRM1
Q8IYB5	SMAP1
Q8IYB7	DIS3L2
Q8IYB8	SUPV3L1
Q8IYD1	GSPT2
Q8IYH5	ZZZ3
Q8IYI6	EXOC8
Q8IYL3	C1orf174
Q8IYQ7	THNSL1
Q8IYR2	SMYD4
Q8IYS0	GRAMD1C
Q8IYS1	PM20D2
Q8IYS2	KIAA2013
Q8IYU2	HACE1
Q8IYU8	MICU2
Q8IZ07	ANKRD13A
Q8IZ21	PHACTR4
Q8IZ52	CHPF
Q8IZ69	TRMT2A
Q8IZ73	RPUSD2
Q8IZ81	ELMOD2
Q8IZ83	ALDH16A1
Q8IZA0	KIAA0319L
Q8IZD4	DCP1B
Q8IZE3	SCYL3
Q8IZH2	XRN1
Q8IZL8	PELP1
Q8IZL9	CDK20
Q8IZP0	ABI1
Q8IZT6	ASPM
Q8N0S6	CENPL
Q8N0T1	C8orf59
Q8N0U8	VKORC1L1
Q8N0V3	RBFA
Q8N0X7	SPART
Q8N0Y7	PGAM4
Q8N0Z3	SPICE1
Q8N0Z6	TTC5
Q8N122	RPTOR
Q8N128	FAM177A1
Q8N138	ORMDL3
Q8N163	CCAR2
Q8N183	NDUFAF2
Q8N1B4	VPS52
Q8N1F7	NUP93
Q8N1F8	STK11IP
Q8N1G0	ZNF687
Q8N1G2	CMTR1
Q8N1G4	LRRC47
Q8N1N4	KRT78
Q8N1S5	SLC39A11
Q8N201	INTS1
Q8N257	HIST3H2BB
Q8N2A8	PLD6
Q8N2F6	ARMC10
Q8N2G8	GHDC
Q8N2H4	SYS1
Q8N2K0	ABHD12
Q8N2K1	UBE2J2
Q8N2M8	CLASRP
Q8N2W9	PIAS4
Q8N335	GPD1L
Q8N392	ARHGAP18
Q8N3C0	ASCC3
Q8N3E9	PLCD3
Q8N3F8	MICALL1
Q8N3P4	VPS8
Q8N3R9	MPP5
Q8N3U4	STAG2
Q8N3X1	FNBP4
Q8N3Z3	GTPBP8
Q8N442	GUF1
Q8N488	RYBP
Q8N4A0	GALNT4
Q8N4C8	MINK1
Q8N4H5	TOMM5
Q8N4J0	CARNMT1
Q8N4P3	HDDC3
Q8N4Q0	ZADH2
Q8N4Q1	CHCHD4
Q8N4T8	CBR4
Q8N4V1	MMGT1
Q8N511	TMEM199
Q8N543	OGFOD1
Q8N556	AFAP1
Q8N567	ZCCHC9
Q8N573	OXR1
Q8N584	TTC39C
Q8N5A5	ZGPAT
Q8N5B7	CERS5
Q8N5C6	SRBD1
Q8N5F7	NKAP
Q8N5G2	MACO1
Q8N5K1	CISD2
Q8N5L8	RPP25L
Q8N5M1	ATPAF2
Q8N5M4	TTC9C
Q8N5M9	JAGN1
Q8N5N7	MRPL50
Q8N5P1	ZC3H8
Q8N5U6	RNF10
Q8N5V2	NGEF
Q8N5W9	RFLNB
Q8N5Y2	MSL3
Q8N5Y8	PARP16
Q8N612	FAM160A2
Q8N653	LZTR1
Q8N668	COMMD1
Q8N684	CPSF7
Q8N697	SLC15A4
Q8N6G5	CSGALNACT2
Q8N6H7	ARFGAP2
Q8N6M0	OTUD6B
Q8N6N3	C1orf52
Q8N6Q8	METTL25
Q8N6R0	METTL13
Q8N6S5	ARL6IP6
Q8N6T3	ARFGAP1
Q8N726	CDKN2A
Q8N766	EMC1
Q8N7H5	PAF1
Q8N7R7	CCNYL1
Q8N806	UBR7
Q8N8A6	DDX51
Q8N8C0	ZNF781
Q8N8E3	CEP112
Q8N8L6	ARL10
Q8N8N7	PTGR2
Q8N8Q8	COX18
Q8N8Q9	NIPA2
Q8N8R3	SLC25A29
Q8N8R5	C2orf69
Q8N8R7	ARL14EP
Q8N8S7	ENAH
Q8N8Y2	ATP6V0D2
Q8N954	GPATCH11
Q8N983	MRPL43
Q8N999	C12orf29
Q8N9F7	GDPD1
Q8N9M1	C19orf47
Q8N9N2	ASCC1
Q8N9N5	BANP
Q8N9N7	LRRC57
Q8N9N8	EIF1AD
Q8N9R8	SCAI
Q8N9T8	KRI1
Q8NAN2	MIGA1
Q8NAT1	POMGNT2
Q8NAV1	PRPF38A
Q8NB14	USP38
Q8NB37	GATD1
Q8NB46	ANKRD52
Q8NB49	ATP11C
Q8NB78	KDM1B
Q8NB90	SPATA5
Q8NBF2	NHLRC2
Q8NBI6	XXYLT1
Q8NBJ4	GOLM1
Q8NBJ5	COLGALT1
Q8NBJ7	SUMF2
Q8NBL1	POGLUT1
Q8NBM4	UBAC2
Q8NBM8	PCYOX1L
Q8NBN3	TMEM87A
Q8NBN7	RDH13
Q8NBQ5	HSD17B11
Q8NBS9	TXNDC5
Q8NBT2	SPC24
Q8NBU5	ATAD1
Q8NBX0	SCCPDH
Q8NBZ7	UXS1
Q8NC42	RNF149
Q8NC44	RETREG2
Q8NC51	SERBP1
Q8NC54	C5orf15
Q8NC56	LEMD2
Q8NC60	NOA1
Q8NC96	NECAP1
Q8NCA5	FAM98A
Q8NCC3	PLA2G15
Q8NCC5	SLC37A3
Q8NCD3	HJURP
Q8NCE2	MTMR14
Q8NCF5	NFATC2IP
Q8NCG7	DAGLB
Q8NCH0	CHST14
Q8NCM8	DYNC2H1
Q8NCN4	RNF169
Q8NCN5	PDPR
Q8NCS4	TMEM35B
Q8NCU8	MTLN
Q8NCW5	NAXE
Q8NCX0	CCDC150
Q8ND04	SMG8
Q8ND24	RNF214
Q8ND56	LSM14A
Q8ND76	CCNY
Q8ND82	ZNF280C
Q8ND83	SLAIN1
Q8ND90	PNMA1
Q8NDD1	C1orf131
Q8NDF8	PAPD5
Q8NDI1	EHBP1
Q8NDT2	RBM15B
Q8NDV3	SMC1B
Q8NDV7	TNRC6A
Q8NDW8	TTC21A
Q8NDZ2	SIMC1
Q8NDZ4	C3orf58
Q8NE00	TMEM104
Q8NE01	CNNM3
Q8NE62	CHDH
Q8NE71	ABCF1
Q8NE86	MCU
Q8NEB9	PIK3C3
Q8NEC7	GSTCD
Q8NEF9	SRFBP1
Q8NEJ9	NGDN
Q8NEM2	SHCBP1
Q8NEM7	SUPT20H
Q8NEN9	PDZD8
Q8NEU8	APPL2
Q8NEW0	SLC30A7
Q8NEY8	PPHLN1
Q8NEZ5	FBXO22
Q8NF37	LPCAT1
Q8NF91	SYNE1
Q8NFA0	USP32
Q8NFC6	BOD1L1
Q8NFD5	ARID1B
Q8NFF5	FLAD1
Q8NFG4	FLCN
Q8NFH3	NUP43
Q8NFH4	NUP37
Q8NFH5	NUP35
Q8NFP7	NUDT10
Q8NFQ8	TOR1AIP2
Q8NFV4	ABHD11
Q8NFW8	CMAS
Q8NG31	KNL1
Q8NHH9	ATL2
Q8NHM5	KDM2B
Q8NHP6	MOSPD2
Q8NHP8	PLBD2
Q8NHQ9	DDX55
Q8NHS3	MFSD8
Q8NHU6	TDRD7
Q8NHV4	NEDD1
Q8NHY6	ZFP28
Q8NI22	MCFD2
Q8NI27	THOC2
Q8NI35	PATJ
Q8NI36	WDR36
Q8NI60	COQ8A
Q8NI77	KIF18A
Q8TAA5	GRPEL2
Q8TAA9	VANGL1
Q8TAB3	PCDH19
Q8TAD4	SLC30A5
Q8TAD8	SNIP1
Q8TAE8	GADD45GIP1
Q8TAF3	WDR48
Q8TAG9	EXOC6
Q8TAQ2	SMARCC2
Q8TAT6	NPLOC4
Q8TAX7	MUC7
Q8TB03	CXorf38
Q8TB36	GDAP1
Q8TB37	NUBPL
Q8TB52	FBXO30
Q8TB61	SLC35B2
Q8TB72	PUM2
Q8TBA6	GOLGA5
Q8TBB5	KLHDC4
Q8TBC3	SHKBP1
Q8TBC4	UBA3
Q8TBE0	BAHD1
Q8TBE9	NANP
Q8TBF2	FAM213B
Q8TBF4	ZCRB1
Q8TBM8	DNAJB14
Q8TBP6	SLC25A40
Q8TBQ9	TMEM167A
Q8TBX8	PIP4K2C
Q8TC07	TBC1D15
Q8TC12	RDH11
Q8TCC3	MRPL30
Q8TCD1	C18orf32
Q8TCD5	NT5C
Q8TCE6	FAM45A
Q8TCF1	ZFAND1
Q8TCG1	CIP2A
Q8TCG2	PI4K2B
Q8TCJ2	STT3B
Q8TCS8	PNPT1
Q8TCT0	CERK
Q8TCT8	SPPL2A
Q8TCT9	HM13
Q8TCX1	DYNC2LI1
Q8TCY9	URGCP
Q8TD16	BICD2
Q8TD19	NEK9
Q8TD22	SFXN5
Q8TD26	CHD6
Q8TD30	GPT2
Q8TDB6	DTX3L
Q8TDD1	DDX54
Q8TDI0	CHD5
Q8TDJ6	DMXL2
Q8TDL5	BPIFB1
Q8TDN4	CABLES1
Q8TDN6	BRIX1
Q8TDP1	RNASEH2C
Q8TDQ7	GNPDA2
Q8TDW0	LRRC8C
Q8TDW7	FAT3
Q8TDX7	NEK7
Q8TDY2	RB1CC1
Q8TEA1	NSUN6
Q8TEB1	DCAF11
Q8TED0	UTP15
Q8TED1	GPX8
Q8TEK3	DOT1L
Q8TEL6	TRPC4AP
Q8TEM1	NUP210
Q8TEQ6	GEMIN5
Q8TEQ8	PIGO
Q8TER5	ARHGEF40
Q8TEU7	RAPGEF6
Q8TEW0	PARD3
Q8TEX9	IPO4
Q8TEY7	USP33
Q8TF01	PNISR
Q8TF05	PPP4R1
Q8TF46	DIS3L
Q8TF68	ZNF384
Q8TF76	HASPIN
Q8WTS1	ABHD5
Q8WTS6	SETD7
Q8WTT2	NOC3L
Q8WTV0	SCARB1
Q8WTW3	COG1
Q8WU17	RNF139
Q8WU76	SCFD2
Q8WU79	SMAP2
Q8WU90	ZC3H15
Q8WUA2	PPIL4
Q8WUA4	GTF3C2
Q8WUB8	PHF10
Q8WUD1	RAB2B
Q8WUD4	CCDC12
Q8WUH2	TGFBRAP1
Q8WUH6	TMEM263
Q8WUJ1	CYB5D2
Q8WUK0	PTPMT1
Q8WUM0	NUP133
Q8WUM4	PDCD6IP
Q8WUQ7	CACTIN
Q8WUR7	C15orf40
Q8WUU5	GATAD1
Q8WUW1	BRK1
Q8WUX2	CHAC2
Q8WUX9	CHMP7
Q8WUY1	THEM6
Q8WUY8	NAT14
Q8WUY9	DEPDC1B
Q8WUZ0	BCL7C
Q8WV22	NSMCE1
Q8WV74	NUDT8
Q8WV93	AFG1L
Q8WVB6	CHTF18
Q8WVC0	LEO1
Q8WVC6	DCAKD
Q8WVD3	RNF138
Q8WVI0	SMIM4
Q8WVJ2	NUDCD2
Q8WVM0	TFB1M
Q8WVM7	STAG1
Q8WVM8	SCFD1
Q8WVP7	LMBR1
Q8WVQ1	CANT1
Q8WVT3	TRAPPC12
Q8WVV4	POF1B
Q8WVV9	HNRNPLL
Q8WVX9	FAR1
Q8WVY7	UBLCP1
Q8WW12	PCNP
Q8WW59	SPRYD4
Q8WWC4	MAIP1
Q8WWH5	TRUB1
Q8WWI1	LMO7
Q8WWI5	SLC44A1
Q8WWK9	CKAP2
Q8WWM7	ATXN2L
Q8WWQ0	PHIP
Q8WWV3	RTN4IP1
Q8WWY3	PRPF31
Q8WX92	NELFB
Q8WX93	PALLD
Q8WXA9	SREK1
Q8WXD5	GEMIN6
Q8WXE0	CASKIN2
Q8WXE1	ATRIP
Q8WXF0	SRSF12
Q8WXF1	PSPC1
Q8WXG6	MADD
Q8WXH0	SYNE2
Q8WXI9	GATAD2B
Q8WXW3	PIBF1
Q8WXX5	DNAJC9
Q8WY22	BRI3BP
Q8WY36	BBX
Q8WYA0	IFT81
Q8WYA6	CTNNBL1
Q8WYH8	ING5
Q8WYP5	AHCTF1
Q8WYQ5	DGCR8
Q8WZ42	TTN
Q8WZ74	CTTNBP2
Q8WZ82	OVCA2
Q8WZA0	LZIC
Q8WZA9	IRGQ
Q92484	SMPDL3A
Q92485	SMPDL3B
Q92499	DDX1
Q92503	SEC14L1
Q92504	SLC39A7
Q92506	HSD17B8
Q92520	FAM3C
Q92522	H1FX
Q92526	CCT6B
Q92530	PSMF1
Q92538	GBF1
Q92541	RTF1
Q92542	NCSTN
Q92543	SNX19
Q92544	TM9SF4
Q92545	TMEM131
Q92547	TOPBP1
Q92551	IP6K1
Q92552	MRPS27
Q92558	WASF1
Q92560	BAP1
Q92564	DCUN1D4
Q92569	PIK3R3
Q92572	AP3S1
Q92575	UBXN4
Q92576	PHF3
Q92581	SLC9A6
Q92597	NDRG1
Q92598	HSPH1
Q92599	SEPT8
Q92600	CNOT9
Q92604	LPGAT1
Q92610	ZNF592
Q92614	MYO18A
Q92615	LARP4B
Q92616	GCN1
Q92620	DHX38
Q92621	NUP205
Q92625	ANKS1A
Q92643	PIGK
Q92665	MRPS31
Q92667	AKAP1
Q92673	SORL1
Q92674	CENPI
Q92688	ANP32B
Q92692	NECTIN2
Q92696	RABGGTA
Q92733	PRCC
Q92734	TFG
Q92747	ARPC1A
Q92759	GTF2H4
Q92766	RREB1
Q92769	HDAC2
Q92783	STAM
Q92785	DPF2
Q92791	P3H4
Q92793	CREBBP
Q92794	KAT6A
Q92796	DLG3
Q92797	SYMPK
Q92804	TAF15
Q92820	GGH
Q92830	KAT2A
Q92841	DDX17
Q92845	KIFAP3
Q92859	NEO1
Q92878	RAD50
Q92879	CELF1
Q92882	OSTF1
Q92888	ARHGEF1
Q92889	ERCC4
Q92890	UFD1
Q92896	GLG1
Q92900	UPF1
Q92905	COPS5
Q92908	GATA6
Q92917	GPKOW
Q92922	SMARCC1
Q92925	SMARCD2
Q92930	RAB8B
Q92945	KHSRP
Q92947	GCDH
Q92968	PEX13
Q92973	TNPO1
Q92974	ARHGEF2
Q92979	EMG1
Q92989	CLP1
Q92990	GLMN
Q92993	KAT5
Q92994	BRF1
Q92995	USP13
Q92997	DVL3
Q93008	USP9X
Q93009	USP7
Q93034	CUL5
Q93045	STMN2
Q93050	ATP6V0A1
Q93052	LPP
Q93062	RBPMS
Q93063	EXT2
Q93074	MED12
Q93096	PTP4A1
Q93100	PHKB
Q969E2	SCAMP4
Q969E8	TSR2
Q969F1	GTF3C6
Q969F9	HPS3
Q969G3	SMARCE1
Q969G6	RFK
