A0A1B0GTU1	ZC3H11B
Q969H8	MYDGF
Q969M3	YIPF5
Q969N2	PIGT
Q969P6	TOP1MT
Q969Q0	RPL36AL
Q969Q5	RAB24
Q969R2	OSBP2
Q969R5	L3MBTL2
Q969S3	ZNF622
Q969S9	GFM2
Q969T7	NT5C3B
Q969T9	WBP2
Q969U7	PSMG2
Q969V3	NCLN
Q969V5	MUL1
Q969X5	ERGIC1
Q969X6	UTP4
Q969Y0	NXPE3
Q969Y2	GTPBP3
Q969Z0	TBRG4
Q969Z3	MARC2
Q96A26	FAM162A
Q96A33	CCDC47
Q96A35	MRPL24
Q96A49	SYAP1
Q96A54	ADIPOR1
Q96A57	TMEM230
Q96A65	EXOC4
Q96AA3	RFT1
Q96AB3	ISOC2
Q96AC1	FERMT2
Q96AD5	PNPLA2
Q96AE4	FUBP1
Q96AG3	SLC25A46
Q96AG4	LRRC59
Q96AJ9	VTI1A
Q96AQ6	PBXIP1
Q96AQ8	MCUR1
Q96AX1	VPS33A
Q96AY3	FKBP10
Q96AY4	TTC28
Q96B01	RAD51AP1
Q96B23	C18orf25
Q96B26	EXOSC8
Q96B36	AKT1S1
Q96B49	TOMM6
Q96B96	TMEM159
Q96BD8	SKA1
Q96BH1	RNF25
Q96BJ3	AIDA
Q96BK5	PINX1
Q96BM9	ARL8A
Q96BN8	OTULIN
Q96BP3	PPWD1
Q96BQ5	CCDC127
Q96BR1	SGK3
Q96BR5	COA7
Q96BT3	CENPT
Q96BT7	ALKBH8
Q96BW5	PTER
Q96BW9	TAMM41
Q96BY7	ATG2B
Q96BY9	SARAF
Q96C01	FAM136A
Q96C03	MIEF2
Q96C12	ARMC5
Q96C19	EFHD2
Q96C23	GALM
Q96C36	PYCR2
Q96C57	C12orf43
Q96C86	DCPS
Q96C90	PPP1R14B
Q96C92	SDCCAG3
Q96CB8	INTS12
Q96CB9	NSUN4
Q96CD2	PPCDC
Q96CM8	ACSF2
Q96CN5	LRRC45
Q96CN7	ISOC1
Q96CN9	GCC1
Q96CP2	FLYWCH2
Q96CP6	GRAMD1A
Q96CP7	TLCD1
Q96CQ1	SLC25A36
Q96CS2	HAUS1
Q96CS3	FAF2
Q96CT7	CCDC124
Q96CU9	FOXRED1
Q96CW1	AP2M1
Q96CW5	TUBGCP3
Q96CX2	KCTD12
Q96D09	GPRASP2
Q96D46	NMD3
Q96D53	COQ8B
Q96D71	REPS1
Q96DA2	RAB39B
Q96DA6	DNAJC19
Q96DB5	RMDN1
Q96DC7	TMCO6
Q96DE0	NUDT16
Q96DE5	ANAPC16
Q96DF8	ESS2
Q96DG6	CMBL
Q96DH6	MSI2
Q96DI7	SNRNP40
Q96DM3	RMC1
Q96DP5	MTFMT
Q96DR8	MUCL1
Q96DT7	ZBTB10
Q96DV4	MRPL38
Q96DX4	RSPRY1
Q96DY7	MTBP
Q96DZ1	ERLEC1
Q96E11	MRRF
Q96E16	SMIM19
Q96E17	RAB3C
Q96E22	NUS1
Q96E29	MTERF3
Q96E39	RBMXL1
Q96E52	OMA1
Q96EA4	SPDL1
Q96EB1	ELP4
Q96EB6	SIRT1
Q96EC8	YIPF6
Q96ED9	HOOK2
Q96EE3	SEH1L
Q96EH3	MALSU1
Q96EI5	TCEAL4
Q96EK4	THAP11
Q96EK5	KIFBP
Q96EK6	GNPNAT1
Q96EK7	FAM120B
Q96EK9	KTI12
Q96EL2	MRPS24
Q96EL3	MRPL53
Q96EM0	L3HYPDH
Q96EN8	MOCOS
Q96EP0	RNF31
Q96EP5	DAZAP1
Q96ER3	SAAL1
Q96ER9	CCDC51
Q96ES6	MFSD3
Q96ES7	SGF29
Q96EU6	RRP36
Q96EV2	RBM33
Q96EV8	DTNBP1
Q96EX1	SMIM12
Q96EX3	WDR34
Q96EY1	DNAJA3
Q96EY4	TMA16
Q96EY5	MVB12A
Q96EY7	PTCD3
Q96EY8	MMAB
Q96EY9	ADAT3
Q96EZ8	MCRS1
Q96F07	CYFIP2
Q96F25	ALG14
Q96F45	ZNF503
Q96F63	CCDC97
Q96F86	EDC3
Q96FC9	DDX11
Q96FF9	CDCA5
Q96FJ0	STAMBPL1
Q96FJ2	DYNLL2
Q96FK6	WDR89
Q96FN4	CPNE2
Q96FS4	SIPA1
Q96FV9	THOC1
Q96FW1	OTUB1
Q96FX7	TRMT61A
Q96FZ2	HMCES
Q96FZ7	CHMP6
Q96G03	PGM2
Q96G21	IMP4
Q96G23	CERS2
Q96G28	CFAP36
Q96G46	DUS3L
Q96G61	NUDT11
Q96G74	OTUD5
Q96GA3	LTV1
Q96GC5	MRPL48
Q96GC9	VMP1
Q96GD0	PDXP
Q96GD4	AURKB
Q96GG9	DCUN1D1
Q96GJ1	TRMT2B
Q96GK7	FAHD2A
Q96GM5	SMARCD1
Q96GM8	TOE1
Q96GN5	CDCA7L
Q96GQ5	C16orf58
Q96GQ7	DDX27
Q96GS6	ABHD17A
Q96GW9	MARS2
Q96GX5	MASTL
Q96GX9	APIP
Q96GY0	ZC2HC1A
Q96GZ6	SLC41A3
Q96H55	MYO19
Q96H78	SLC25A44
Q96HA1	POM121
Q96HA7	TONSL
Q96HA9	PEX11G
Q96HC4	PDLIM5
Q96HD1	CRELD1
Q96HE7	ERO1A
Q96HH6	TMEM19
Q96HJ9	FMC1
Q96HN2	AHCYL2
Q96HP0	DOCK6
Q96HP4	OXNAD1
Q96HQ2	CDKN2AIPNL
Q96HR8	NAF1
Q96HR9	REEP6
Q96HS1	PGAM5
Q96HV5	TMEM41A
Q96HW7	INTS4
Q96HY6	DDRGK1
Q96HY7	DHTKD1
Q96I15	SCLY
Q96I24	FUBP3
Q96I25	RBM17
Q96I36	COX14
Q96I45	TMEM141
Q96I51	RCC1L
Q96I59	NARS2
Q96I99	SUCLG2
Q96II8	LRCH3
Q96IJ6	GMPPA
Q96IK0	TMEM101
Q96IK1	BOD1
Q96IR2	ZNF845
Q96IU4	ABHD14B
Q96IX5	USMG5
Q96IY1	NSL1
Q96IZ0	PAWR
Q96IZ5	RBM41
Q96IZ7	RSRC1
Q96J01	THOC3
Q96J02	ITCH
Q96J42	TXNDC15
Q96J84	KIRREL1
Q96JA1	LRIG1
Q96JA3	PLEKHA8
Q96JB2	COG3
Q96JB3	HIC2
Q96JB5	CDK5RAP3
Q96JC1	VPS39
Q96JC9	EAF1
Q96JG6	VPS50
Q96JH7	VCPIP1
Q96JI7	SPG11
Q96JJ3	ELMO2
Q96JJ7	TMX3
Q96JK2	DCAF5
Q96JM3	CHAMP1
Q96JM7	L3MBTL3
Q96JN0	LCOR
Q96JP5	ZFP91
Q96JX3	SERAC1
Q96K12	FAR2
Q96K17	BTF3L4
Q96K37	SLC35E1
Q96K49	TMEM87B
Q96K76	USP47
Q96KA5	CLPTM1L
Q96KB5	PBK
Q96KC2	ARL5B
Q96KC8	DNAJC1
Q96KF7	SMIM8
Q96KG9	SCYL1
Q96KM6	ZNF512B
Q96KP1	EXOC2
Q96KP4	CNDP2
Q96KQ7	EHMT2
Q96KR1	ZFR
Q96KR6	FAM210B
Q96L50	LRR1
Q96L58	B3GALT6
Q96L73	NSD1
Q96L91	EP400
Q96L92	SNX27
Q96L93	KIF16B
Q96LD8	SENP8
Q96LI5	CNOT6L
Q96LJ7	DHRS1
Q96LL9	DNAJC30
Q96LT9	RNPC3
Q96LW4	PRIMPOL
Q96LZ7	RMDN2
Q96M27	PRRC1
Q96M89	CCDC138
Q96ME1	FBXL18
Q96ME7	ZNF512
Q96MF7	NSMCE2
Q96MG7	NSMCE3
Q96MH6	TMEM68
Q96MU7	YTHDC1
Q96MW1	CCDC43
Q96MW5	COG8
Q96MX6	WDR92
Q96N11	C7orf26
Q96N64	PWWP2A
Q96N66	MBOAT7
Q96N67	DOCK7
Q96NB2	SFXN2
Q96NB3	ZNF830
Q96NC0	ZMAT2
Q96ND0	FAM210A
Q96NI8	ZNF570
Q96NT0	CCDC115
Q96P11	NSUN5
Q96P16	RPRD1A
Q96P47	AGAP3
Q96P48	ARAP1
Q96P63	SERPINB12
Q96P70	IPO9
Q96PC5	MIA2
Q96PE3	INPP4A
Q96PE7	MCEE
Q96PK6	RBM14
Q96PU4	UHRF2
Q96PU5	NEDD4L
Q96PU8	QKI
Q96PV6	LENG8
Q96PY5	FMNL2
Q96PY6	NEK1
Q96PZ0	PUS7
Q96Q05	TRAPPC9
Q96Q11	TRNT1
Q96Q15	SMG1
Q96Q89	KIF20B
Q96QA5	GSDMA
Q96QC0	PPP1R10
Q96QD8	SLC38A2
Q96QD9	FYTTD1
Q96QE3	ATAD5
Q96QE5	TEFM
Q96QF0	RAB3IP
Q96QK1	VPS35
Q96QR8	PURB
Q96QU8	XPO6
Q96R06	SPAG5
Q96RD7	PANX1
Q96RE7	NACC1
Q96RG2	PASK
Q96RK4	BBS4
Q96RL1	UIMC1
Q96RL7	VPS13A
Q96RP9	GFM1
Q96RQ1	ERGIC2
Q96RQ3	MCCC1
Q96RR1	TWNK
Q96RR4	CAMKK2
Q96RS0	TGS1
Q96RS6	NUDCD1
Q96RT1	ERBIN
Q96RT7	TUBGCP6
Q96RT8	TUBGCP5
Q96RU2	USP28
Q96RU3	FNBP1
Q96S38	RPS6KC1
Q96S44	TP53RK
Q96S52	PIGS
Q96S55	WRNIP1
Q96S59	RANBP9
Q96S66	CLCC1
Q96S82	UBL7
Q96S94	CCNL2
Q96S97	MYADM
Q96SB3	PPP1R9B
Q96SB4	SRPK1
Q96SB8	SMC6
Q96SI1	KCTD15
Q96SI9	STRBP
Q96SK2	TMEM209
Q96SN8	CDK5RAP2
Q96ST2	IWS1
Q96ST3	SIN3A
Q96SU4	OSBPL9
Q96SW2	CRBN
Q96SY0	INTS14
Q96SZ5	ADO
Q96SZ6	CDK5RAP1
Q96T21	SECISBP2
Q96T23	RSF1
Q96T37	RBM15
Q96T51	RUFY1
Q96T52	IMMP2L
Q96T58	SPEN
Q96T60	PNKP
Q96T76	MMS19
Q96T88	UHRF1
Q96TA1	FAM129B
Q96TA2	YME1L1
Q96TC7	RMDN3
Q99417	MYCBP
Q99426	TBCB
Q99436	PSMB7
Q99439	CNN2
Q99442	SEC62
Q99447	PCYT2
Q99459	CDC5L
Q99460	PSMD1
Q99471	PFDN5
Q99487	PAFAH2
Q99496	RNF2
Q99497	PARK7
Q99504	EYA3
Q99519	NEU1
Q99523	SORT1
Q99536	VAT1
Q99538	LGMN
Q99541	PLIN2
Q99543	DNAJC2
Q99547	MPHOSPH6
Q99549	MPHOSPH8
Q99567	NUP88
Q99569	PKP4
Q99570	PIK3R4
Q99575	POP1
Q99576	TSC22D3
Q99584	S100A13
Q99590	SCAF11
Q99595	TIMM17A
Q99598	TSNAX
Q99614	TTC1
Q99615	DNAJC7
Q99622	C12orf57
Q99623	PHB2
Q99626	CDX2
Q99627	COPS8
Q99633	PRPF18
Q99638	RAD9A
Q99640	PKMYT1
Q99643	SDHC
Q99653	CHP1
Q99661	KIF2C
Q99666	RGPD5*
Q99700	ATXN2
Q99707	MTR
Q99714	HSD17B10
Q99717	SMAD5
Q99720	SIGMAR1
Q99728	BARD1
Q99729	HNRNPAB
Q99733	NAP1L4
Q99735	MGST2
Q99741	CDC6
Q99747	NAPG
Q99755	PIP5K1A
Q99757	TXN2
Q99758	ABCA3
Q99766	ATP5S
Q99797	MIPEP
Q99798	ACO2
Q99805	TM9SF2
Q99807	COQ7
Q99808	SLC29A1
Q99816	TSG101
Q99828	CIB1
Q99829	CPNE1
Q99832	CCT7
Q99848	EBNA1BP2
Q99856	ARID3A
Q99871	HAUS7
Q99873	PRMT1
Q99935	OPRPN
Q99942	RNF5
Q99943	AGPAT1
Q99956	DUSP9
Q99959	PKP2
Q99961	SH3GL1
Q99962	SH3GL2
Q99963	SH3GL3
Q99986	VRK1
Q99996	AKAP9
Q9BPU6	DPYSL5
Q9BPW8	NIPSNAP1
Q9BPX3	NCAPG
Q9BPX6	MICU1
Q9BPY3	FAM118B
Q9BPZ3	PAIP2
Q9BPZ7	MAPKAP1
Q9BQ04	RBM4B
Q9BQ39	DDX50
Q9BQ52	ELAC2
Q9BQ61	TRIR
Q9BQ67	GRWD1
Q9BQ69	MACROD1
Q9BQ70	TCF25
Q9BQ75	CMSS1
Q9BQ95	ECSIT
Q9BQA1	WDR77
Q9BQC3	DPH2
Q9BQD7	FAM173A
Q9BQE3	TUBA1C
Q9BQE5	APOL2
Q9BQE9	BCL7B
Q9BQG0	MYBBP1A
Q9BQG2	NUDT12
Q9BQI6	SLF1
Q9BQP7	MGME1
Q9BQS8	FYCO1
Q9BQT8	SLC25A21
Q9BQT9	CLSTN3
Q9BR61	ACBD6
Q9BR76	CORO1B
Q9BRA2	TXNDC17
Q9BRF8	CPPED1
Q9BRG1	VPS25
Q9BRJ2	MRPL45
Q9BRJ6	C7orf50
Q9BRJ7	NUDT16L1
Q9BRK0	REEP2
Q9BRK4	LZTS2
Q9BRK5	SDF4
Q9BRP1	PDCD2L
Q9BRP4	PAAF1
Q9BRP8	PYM1
Q9BRR6	ADPGK
Q9BRR8	GPATCH1
Q9BRS2	RIOK1
Q9BRT2	UQCC2
Q9BRT6	LLPH
Q9BRT9	GINS4
Q9BRU9	UTP23
Q9BRV3	SLC50A1
Q9BRV8	SIKE1
Q9BRX2	PELO
Q9BRX5	GINS3
Q9BRX8	FAM213A
Q9BRX9	WDR83
Q9BRZ2	TRIM56
Q9BS16	CENPK
Q9BS26	ERP44
Q9BSC4	NOL10
Q9BSD7	NTPCR
Q9BSF4	TIMM29
Q9BSH4	TACO1
Q9BSH5	HDHD3
Q9BSJ2	TUBGCP2
Q9BSJ5	C17orf80
Q9BSJ8	ESYT1
Q9BSK2	SLC25A33
Q9BSK4	FEM1A
Q9BSL1	UBAC1
Q9BSR8	YIPF4
Q9BST9	RTKN
Q9BSV6	TSEN34
Q9BSY4	CHCHD5
Q9BT17	MTG1
Q9BT22	ALG1
Q9BT25	HAUS8
Q9BT40	INPP5K
Q9BT73	PSMG3
Q9BT78	COPS4
Q9BTA9	WAC
Q9BTC0	DIDO1
Q9BTC8	MTA3
Q9BTD8	RBM42
Q9BTE1	DCTN5
Q9BTE3	MCMBP
Q9BTE6	AARSD1
Q9BTE7	DCUN1D5
Q9BTT0	ANP32E
Q9BTT6	LRRC1
Q9BTU6	PI4K2A
Q9BTV4	TMEM43
Q9BTV5	FSD1
Q9BTV6	DPH7
Q9BTW9	TBCD
Q9BTX1	NDC1
Q9BTX7	TTPAL
Q9BTY2	FUCA2
Q9BTY7	HGH1
Q9BTZ2	DHRS4
Q9BU02	THTPA
Q9BU23	LMF2
Q9BU61	NDUFAF3
Q9BU64	CENPO
Q9BU76	C1orf35
Q9BU89	DOHH
Q9BUB5	MKNK1
Q9BUB7	TMEM70
Q9BUE0	MED18
Q9BUF5	TUBB6
Q9BUH6	PAXX
Q9BUI4	POLR3C
Q9BUJ2	HNRNPUL1
Q9BUK6	MSTO1
Q9BUL5	PHF23
Q9BUL8	PDCD10
Q9BUN8	DERL1
Q9BUP0	EFHD1
Q9BUP3	HTATIP2
Q9BUQ8	DDX23
Q9BUR4	WRAP53
Q9BUR5	APOO
Q9BUT1	BDH2
Q9BUV8	C20orf24
Q9BV10	ALG12
Q9BV19	C1orf50
Q9BV20	MRI1
Q9BV23	ABHD6
Q9BV38	WDR18
Q9BV44	THUMPD3
Q9BV57	ADI1
Q9BV73	CEP250
Q9BV79	MECR
Q9BV81	EMC6
Q9BV86	NTMT1
Q9BVA0	KATNB1
Q9BVA1	TUBB2B
Q9BVC3	DSCC1
Q9BVC5	C2orf49
Q9BVC6	TMEM109
Q9BVG4	PBDC1
Q9BVG9	PTDSS2
Q9BVI4	NOC4L
Q9BVJ6	UTP14A
Q9BVK2	ALG8
Q9BVK6	TMED9
Q9BVL2	NUP58
Q9BVN2	RUSC1
Q9BVP2	GNL3
Q9BVQ7	SPATA5L1
Q9BVS4	RIOK2
Q9BVS5	TRMT61B
Q9BVV7	TIMM21
Q9BW19	KIFC1
Q9BW27	NUP85
Q9BW61	DDA1
Q9BW62	KATNAL1
Q9BW71	HIRIP3
Q9BW72	HIGD2A
Q9BW83	IFT27
Q9BW85	CCDC94
Q9BW91	NUDT9
Q9BW92	TARS2
Q9BWD1	ACAT2
Q9BWF3	RBM4
Q9BWH2	FUNDC2
Q9BWH6	RPAP1
Q9BWJ5	SF3B5
Q9BWM7	SFXN3
Q9BWN1	PRR14
Q9BWS9	CHID1
Q9BWT3	PAPOLG
Q9BWT6	MND1
Q9BWU0	SLC4A1AP
Q9BWW4	SSBP3
Q9BX40	LSM14B
Q9BX63	BRIP1
Q9BX67	JAM3
Q9BX68	HINT2
Q9BX95	SGPP1
Q9BXB4	OSBPL11
Q9BXF3	CECR2
Q9BXI6	TBC1D10A
Q9BXJ8	TMEM120A
Q9BXJ9	NAA15
Q9BXK5	BCL2L13
Q9BXP2	SLC12A9
Q9BXP5	SRRT
Q9BXR0	QTRT1
Q9BXS4	TMEM59
Q9BXS5	AP1M1
Q9BXS6	NUSAP1
Q9BXT5	TEX15
Q9BXW6	OSBPL1A
Q9BXW7	HDHD5
Q9BXW9	FANCD2
Q9BXY0	MAK16
Q9BY32	ITPA
Q9BY42	RTFDC1
Q9BY43	CHMP4A
Q9BY44	EIF2A
Q9BY49	PECR
Q9BY50	SEC11C
Q9BY66	KDM5D
Q9BY67	CADM1
Q9BY77	POLDIP3
Q9BY89	KIAA1671
Q9BYB4	GNB1L
Q9BYC5	FUT8
Q9BYC9	MRPL20
Q9BYD1	MRPL13
Q9BYD2	MRPL9
Q9BYD3	MRPL4
Q9BYD6	MRPL1
Q9BYE7	PCGF6
Q9BYF1	ACE2
Q9BYG3	NIFK
Q9BYG5	PARD6B
Q9BYI3	FAM126A
Q9BYJ9	YTHDF1
Q9BYN0	SRXN1
Q9BYN8	MRPS26
Q9BYP7	WNK3
Q9BYT8	NLN
Q9BYV8	CEP41
Q9BYW2	SETD2
Q9BYX7	POTEKP
Q9BZ23	PANK2
Q9BZ95	NSD3
Q9BZD4	NUF2
Q9BZE1	MRPL37
Q9BZE4	GTPBP4
Q9BZE9	ASPSCR1
Q9BZF1	OSBPL8
Q9BZF3	OSBPL6
Q9BZF9	UACA
Q9BZG1	RAB34
Q9BZG8	DPH1
Q9BZH6	WDR11
Q9BZI7	UPF3B
Q9BZJ0	CRNKL1
Q9BZK3	NACAP1
Q9BZK7	TBL1XR1
Q9BZL1	UBL5
Q9BZM4	ULBP3
Q9BZQ8	FAM129A
Q9BZV1	UBXN6
Q9BZX2	UCK2
Q9BZZ5	API5
Q9C005	DPY30
Q9C037	TRIM4
Q9C0B1	FTO
Q9C0B7	TANGO6
Q9C0C2	TNKS1BP1
Q9C0C4	SEMA4C
Q9C0C9	UBE2O
Q9C0D3	ZYG11B
Q9C0D9	SELENOI
Q9C0E2	XPO4
Q9C0E8	LNPK
Q9C0F1	CEP44
Q9C0H2	TTYH3
Q9C0I1	MTMR12
Q9C0J8	WDR33
Q9GZL7	WDR12
Q9GZM5	YIPF3
Q9GZN1	ACTR6
Q9GZN8	C20orf27
Q9GZP1	NRSN2
Q9GZP4	PITHD1
Q9GZP9	DERL2
Q9GZQ3	COMMD5
Q9GZR1	SENP6
Q9GZR2	REXO4
Q9GZR7	DDX24
Q9GZS1	POLR1E
Q9GZS3	WDR61
Q9GZT3	SLIRP
Q9GZT4	SRR
Q9GZT8	NIF3L1
Q9GZT9	EGLN1
Q9GZU8	FAM192A
Q9GZY4	COA1
Q9GZY8	MFF
Q9GZZ1	NAA50
Q9GZZ8	LACRT
Q9GZZ9	UBA5
Q9H000	MKRN2
Q9H019	MTFR1L
Q9H061	TMEM126A
Q9H074	PAIP1
Q9H078	CLPB
Q9H081	MIS12
Q9H082	RAB33B
Q9H089	LSG1
Q9H0A0	NAT10
Q9H0A8	COMMD4
Q9H0B6	KLC2
Q9H0C5	BTBD1
Q9H0C8	ILKAP
Q9H0D6	XRN2
Q9H0E2	TOLLIP
Q9H0E3	SAP130
Q9H0E9	BRD8
Q9H0F7	ARL6
Q9H0G5	NSRP1
Q9H0H0	INTS2
Q9H0H5	RACGAP1
Q9H0K6	PUS7L
Q9H0L4	CSTF2T
Q9H0P0	NT5C3A
Q9H0R1	AP5M1
Q9H0R4	HDHD2
Q9H0R6	QRSL1
Q9H0S4	DDX47
Q9H0U3	MAGT1
Q9H0U4	RAB1B
Q9H0U9	TSPYL1
Q9H0V9	LMAN2L
Q9H0W5	CCDC8
Q9H0W8	SMG9
Q9H0W9	C11orf54
Q9H0X9	OSBPL5
Q9H147	DNTTIP1
Q9H160	ING2
Q9H173	SIL1
Q9H1A3	METTL9
Q9H1A4	ANAPC1
Q9H1B5	XYLT2
Q9H1B7	IRF2BPL
Q9H1C4	UNC93B1
Q9H1D9	POLR3F
Q9H1E3	NUCKS1
Q9H1E5	TMX4
Q9H1H9	KIF13A
Q9H1I8	ASCC2
Q9H1K1	ISCU
Q9H1N7	SLC35B3
Q9H1P3	OSBPL2
Q9H1U9	SLC25A51
Q9H1X3	DNAJC25
Q9H1Y0	ATG5
Q9H1Z9	TSPAN10
Q9H223	EHD4
Q9H267	VPS33B
Q9H269	VPS16
Q9H270	VPS11
Q9H299	SH3BGRL3
Q9H2A2	ALDH8A1
Q9H2C0	GAN
Q9H2C2	ARV1
Q9H2D1	SLC25A32
Q9H2D6	TRIOBP
Q9H2G2	SLK
Q9H2H8	PPIL3
Q9H2H9	SLC38A1
Q9H2J4	PDCL3
Q9H2J7	SLC6A15
Q9H2K8	TAOK3
Q9H2M9	RAB3GAP2
Q9H2P0	ADNP
Q9H2P9	DPH5
Q9H2U1	DHX36
Q9H2U2	PPA2
Q9H2V7	SPNS1
Q9H2W6	MRPL46
Q9H2Y7	ZNF106
Q9H300	PARL
Q9H307	PNN
Q9H330	TMEM245
Q9H334	FOXP1
Q9H3C7	GGNBP2
Q9H3E2	SNX25
Q9H3F6	KCTD10
Q9H3G5	CPVL
Q9H3H1	TRIT1
Q9H3H5	DPAGT1
Q9H3K2	GHITM
Q9H3K6	BOLA2*
Q9H3L0	MMADHC
Q9H3N1	TMX1
Q9H3P2	NELFA
Q9H3P7	ACBD3
Q9H3R1	NDST4
Q9H3R5	CENPH
Q9H3S7	PTPN23
Q9H3U1	UNC45A
Q9H410	DSN1
Q9H425	C1orf198
Q9H444	CHMP4B
Q9H446	RWDD1
Q9H488	POFUT1
Q9H490	PIGU
Q9H496	TOR1AIP2
Q9H497	TOR3A
Q9H4A3	WNK1
Q9H4A4	RNPEP
Q9H4A5	GOLPH3L
Q9H4A6	GOLPH3
Q9H4H8	FAM83D
Q9H4I3	TRABD
Q9H4I9	SMDT1
Q9H4L4	SENP3
Q9H4L5	OSBPL3
Q9H4L7	SMARCAD1
Q9H4M9	EHD1
Q9H501	ESF1
Q9H553	ALG2
Q9H582	ZNF644
Q9H583	HEATR1
Q9H5H4	ZNF768
Q9H5I1	SUV39H2
Q9H5K3	POMK
Q9H5N1	RABEP2
Q9H5Q4	TFB2M
Q9H5V9	CXorf56
Q9H5Z1	DHX35
Q9H649	NSUN3
Q9H6D7	HAUS4
Q9H6E4	CCDC134
Q9H6E5	TUT1
Q9H6F5	CCDC86
Q9H6H4	REEP4
Q9H6K4	OPA3
Q9H6R0	DHX33
Q9H6R4	NOL6
Q9H6R6	ZDHHC6
Q9H6R7	WDCP
Q9H6S0	YTHDC2
Q9H6T3	RPAP3
Q9H6U6	BCAS3
Q9H6U8	ALG9
Q9H6V9	LDAH
Q9H6W3	RIOX1
Q9H6Y2	WDR55
Q9H6Z4	RANBP3
Q9H773	DCTPP1
Q9H7B2	RPF2
Q9H7B4	SMYD3
Q9H7C9	AAMDC
Q9H7D7	WDR26
Q9H7E9	C8orf33
Q9H7F0	ATP13A3
Q9H7F4	TMEM185B
Q9H7H0	METTL17
Q9H7L9	SUDS3
Q9H7N4	SCAF1
Q9H7S9	ZNF703
Q9H7Z3	NRDE2
Q9H7Z7	PTGES2
Q9H813	TMEM206
Q9H814	PHAX
Q9H845	ACAD9
Q9H853	TUBA4B
Q9H857	NT5DC2
Q9H871	RMND5A
Q9H8G2	CAAP1
Q9H8H0	NOL11
Q9H8H2	DDX31
Q9H8H3	METTL7A
Q9H8K7	C10orf88
Q9H8M2	BRD9
Q9H8M7	MINDY3
Q9H8S9	MOB1A
Q9H8T0	AKTIP
Q9H8V3	ECT2
Q9H8Y5	ANKZF1
Q9H8Y8	GORASP2
Q9H900	ZWILCH
Q9H903	MTHFD2L
Q9H910	JPT2
Q9H920	RNF121
Q9H936	SLC25A22
Q9H944	MED20
Q9H967	WDR76
Q9H974	QTRT2
Q9H977	WDR54
Q9H981	ACTR8
Q9H993	ARMT1
Q9H999	PANK3
Q9H9A5	CNOT10
Q9H9A6	LRRC40
Q9H9A7	RMI1
Q9H9B1	EHMT1
Q9H9B4	SFXN1
Q9H9C1	VIPAS39
Q9H9E3	COG4
Q9H9F9	ACTR5
Q9H9G7	AGO3
Q9H9H4	VPS37B
Q9H9J2	MRPL44
Q9H9L3	ISG20L2
Q9H9P8	L2HGDH
Q9H9Q2	COPS7B
Q9H9S3	SEC61A2
Q9H9S4	CAB39L
Q9H9S5	FKRP
Q9H9T3	ELP3
Q9H9Y2	RPF1
Q9H9Y6	POLR1B
Q9HA64	FN3KRP
Q9HA65	TBC1D17
Q9HA77	CARS2
Q9HA82	CERS4
Q9HAD4	WDR41
Q9HAF1	MEAF6
Q9HAS0	C17orf75
Q9HAT2	SIAE
Q9HAU0	PLEKHA5
Q9HAU5	UPF2
Q9HAV0	GNB4
Q9HAV4	XPO5
Q9HAV7	GRPEL1
Q9HAW4	CLSPN
Q9HAZ1	CLK4
Q9HB07	MYG1
Q9HB09	BCL2L12
Q9HB40	SCPEP1
Q9HB71	CACYBP
Q9HB90	RRAGC
Q9HBE1	PATZ1
Q9HBH5	RDH14
Q9HBI1	PARVB
Q9HBK9	AS3MT
Q9HBL7	PLGRKT
Q9HBM0	VEZT
Q9HBM1	SPC25
Q9HBM6	TAF9B
Q9HBU6	ETNK1
Q9HC07	TMEM165
Q9HC21	SLC25A19
Q9HC35	EML4
Q9HC36	MRM3
