A0A1B0GTU1	ZC3H11B
Q9UHI6	DDX20
Q9UHI8	ADAMTS1
Q9UHJ3	SFMBT1
Q9UHJ6	SHPK
Q9UHK0	NUFIP1
Q9UHN1	POLG2
Q9UHN6	TMEM2
Q9UHQ4	BCAP29
Q9UHQ9	CYB5R1
Q9UHR4	BAIAP2L1
Q9UHR5	SAP30BP
Q9UHR6	ZNHIT2
Q9UHV7	MED13
Q9UHV9	PFDN2
Q9UHW9	SLC12A6
Q9UHX1	PUF60
Q9UHY1	NRBP1
Q9UHY7	ENOPH1
Q9UI09	NDUFA12
Q9UI10	EIF2B4
Q9UI12	ATP6V1H
Q9UI14	RABAC1
Q9UI26	IPO11
Q9UI30	TRMT112
Q9UI36	DACH1
Q9UI42	CPA4
Q9UI43	MRM2
Q9UIA9	XPO7
Q9UIC8	LCMT1
Q9UID3	VPS51
Q9UIF9	BAZ2A
Q9UIG0	BAZ1B
Q9UII2	ATPIF1
Q9UII4	HERC5
Q9UIJ7	AK3
Q9UIL1	SCOC
Q9UIQ6	LNPEP
Q9UIS9	MBD1
Q9UIU6	SIX4
Q9UIV1	CNOT7
Q9UIW2	PLXNA1
Q9UJ14	GGT7
Q9UJ41	RABGEF1
Q9UJ70	NAGK
Q9UJ83	HACL1
Q9UJA2	CRLS1
Q9UJA3	MCM8
Q9UJA5	TRMT6
Q9UJC3	HOOK1
Q9UJC5	SH3BGRL2
Q9UJF2	RASAL2
Q9UJG1	MOSPD1
Q9UJK0	TSR3
Q9UJS0	SLC25A13
Q9UJU6	DBNL
Q9UJV9	DDX41
Q9UJW0	DCTN4
Q9UJX2	CDC23
Q9UJX3	ANAPC7
Q9UJX4	ANAPC5
Q9UJX5	ANAPC4
Q9UJX6	ANAPC2
Q9UJY4	GGA2
Q9UJY5	GGA1
Q9UJZ1	STOML2
Q9UK39	NOCT
Q9UK41	VPS28
Q9UK45	LSM7
Q9UK59	DBR1
Q9UK61	FAM208A
Q9UK73	FEM1B
Q9UK97	FBXO9
Q9UK99	FBXO3
Q9UKA2	FBXL4
Q9UKA9	PTBP2
Q9UKB1	FBXW11
Q9UKD2	MRTO4
Q9UKE5	TNIK
Q9UKF6	CPSF3
Q9UKG1	APPL1
Q9UKG9	CROT
Q9UKI8	TLK1
Q9UKJ3	GPATCH8
Q9UKK3	PARP4
Q9UKK9	NUDT5
Q9UKL0	RCOR1
Q9UKL3	CASP8AP2
Q9UKL6	PCTP
Q9UKM7	MAN1B1
Q9UKM9	RALY
Q9UKN7	MYO15A
Q9UKN8	GTF3C4
Q9UKR5	ERG28
Q9UKS6	PACSIN3
Q9UKU0	ACSL6
Q9UKU7	ACAD8
Q9UKV3	ACIN1
Q9UKV5	AMFR
Q9UKV8	AGO2
Q9UKX7	NUP50
Q9UKY7	CDV3
Q9UKZ1	CNOT11
Q9UL01	DSE
Q9UL03	INTS6
Q9UL15	BAG5
Q9UL18	AGO1
Q9UL25	RAB21
Q9UL26	RAB22A
Q9UL33	TRAPPC2L
Q9UL40	ZNF346
Q9UL42	PNMA2
Q9UL46	PSME2
Q9UL54	TAOK2
Q9UL63	MKLN1
Q9ULA0	DNPEP
Q9ULC3	RAB23
Q9ULC4	MCTS1
Q9ULD0	OGDHL
Q9ULD4	BRPF3
Q9ULE6	PALD1
Q9ULF5	SLC39A10
Q9ULG1	INO80
Q9ULH0	KIDINS220
Q9ULH1	ASAP1
Q9ULH7	MKL2
Q9ULI0	ATAD2B
Q9ULI1	NWD2
Q9ULJ7	ANKRD50
Q9ULJ8	PPP1R9A
Q9ULK4	MED23
Q9ULK5	VANGL2
Q9ULL5	PRR12
Q9ULM3	YEATS2
Q9ULM6	CNOT6
Q9ULP9	TBC1D24
Q9ULR0	ISY1
Q9ULS5	TMCC3
Q9ULT8	HECTD1
Q9ULU4	ZMYND8
Q9ULU8	CADPS
Q9ULV3	CIZ1
Q9ULV4	CORO1C
Q9ULW0	TPX2
Q9ULW3	ABT1
Q9ULX3	NOB1
Q9ULX6	AKAP8L
Q9UM00	TMCO1
Q9UM13	ANAPC10
Q9UM19	HPCAL4
Q9UM22	EPDR1
Q9UM54	MYO6
Q9UMN6	KMT2B
Q9UMR2	DDX19B
Q9UMR5	PPT2
Q9UMS0	NFU1
Q9UMS4	PRPF19
Q9UMX0	UBQLN1
Q9UMX1	SUFU
Q9UMX5	NENF
Q9UMY1	NOL7
Q9UMY4	SNX12
Q9UMZ2	SYNRG
Q9UN36	NDRG2
Q9UN37	VPS4A
Q9UN81	L1RE1
Q9UN86	G3BP2
Q9UNA1	ARHGAP26
Q9UNE7	STUB1
Q9UNF0	PACSIN2
Q9UNF1	MAGED2
Q9UNH7	SNX6
Q9UNI6	DUSP12
Q9UNK0	STX8
Q9UNK9	ANGEL1
Q9UNL2	SSR3
Q9UNM6	PSMD13
Q9UNN5	FAF1
Q9UNN8	PROCR
Q9UNP9	PPIE
Q9UNQ2	DIMT1
Q9UNS1	TIMELESS
Q9UNS2	COPS3
Q9UNW1	MINPP1
Q9UNW9	NOVA2
Q9UNX3	RPL26L1
Q9UNX4	WDR3
Q9UNY4	TTF2
Q9UNZ2	NSFL1C
Q9UNZ5	C19orf53
Q9UP83	COG5
Q9UP95	SLC12A4
Q9UPM8	AP4E1
Q9UPM9	B9D1
Q9UPN3	MACF1
Q9UPN4	CEP131
Q9UPN6	SCAF8
Q9UPN7	PPP6R1
Q9UPN9	TRIM33
Q9UPP1	PHF8
Q9UPQ3	AGAP1
Q9UPQ4	TRIM35
Q9UPQ8	DOLK
Q9UPQ9	TNRC6B
Q9UPR0	PLCL2
Q9UPR3	SMG5
Q9UPT5	EXOC7
Q9UPT8	ZC3H4
Q9UPT9	USP22
Q9UPU5	USP24
Q9UPU7	TBC1D2B
Q9UPV0	CEP164
Q9UPW5	AGTPBP1
Q9UPW6	SATB2
Q9UPY3	DICER1
Q9UPY5	SLC7A11
Q9UPY8	MAPRE3
Q9UPZ3	HPS5
Q9UQ13	SHOC2
Q9UQ16	DNM3
Q9UQ35	SRRM2
Q9UQ80	PA2G4
Q9UQ84	EXO1
Q9UQB8	BAIAP2
Q9UQE7	SMC3
Q9UQN3	CHMP2B
Q9UQR0	SCML2
Q9UQR1	ZNF148
Q9Y217	MTMR6
Q9Y221	NIP7
Q9Y223	GNE
Q9Y224	RTRAF
Q9Y230	RUVBL2
Q9Y232	CDYL
Q9Y237	PIN4
Q9Y241	HIGD1A
Q9Y243	AKT3
Q9Y244	POMP
Q9Y248	GINS2
Q9Y251	HPSE
Q9Y255	PRELID1
Q9Y262	EIF3L
Q9Y263	PLAA
Q9Y265	RUVBL1
Q9Y266	NUDC
Q9Y274	ST3GAL6
Q9Y276	BCS1L
Q9Y277	VDAC3
Q9Y281	CFL2
Q9Y282	ERGIC3
Q9Y285	FARSA
Q9Y287	ITM2B
Q9Y289	SLC5A6
Q9Y291	MRPS33
Q9Y294	ASF1A
Q9Y295	DRG1
Q9Y296	TRAPPC4
Q9Y297	BTRC
Q9Y2A7	NCKAP1
Q9Y2B0	CNPY2
Q9Y2B2	PIGL
Q9Y2C2	UST
Q9Y2C4	EXOG
Q9Y2D2	SLC35A3
Q9Y2D4	EXOC6B
Q9Y2D5	AKAP2
Q9Y2E5	MAN2B2
Q9Y2F5	ICE1
Q9Y2G5	POFUT2
Q9Y2G8	DNAJC16
Q9Y2H0	DLGAP4
Q9Y2H6	FNDC3A
Q9Y2I1	NISCH
Q9Y2I7	PIKFYVE
Q9Y2I8	WDR37
Q9Y2J2	EPB41L3
Q9Y2K7	KDM2A
Q9Y2L1	DIS3
Q9Y2L5	TRAPPC8
Q9Y2P8	RCL1
Q9Y2Q3	GSTK1
Q9Y2Q5	LAMTOR2
Q9Y2Q9	MRPS28
Q9Y2R0	COA3
Q9Y2R4	DDX52
Q9Y2R5	MRPS17
Q9Y2R9	MRPS7
Q9Y2S6	TMA7
Q9Y2S7	POLDIP2
Q9Y2T2	AP3M1
Q9Y2U8	LEMD3
Q9Y2V2	CARHSP1
Q9Y2V7	COG6
Q9Y2W1	THRAP3
Q9Y2W2	WBP11
Q9Y2W6	TDRKH
Q9Y2X0	MED16
Q9Y2X3	NOP58
Q9Y2X7	GIT1
Q9Y2X9	ZNF281
Q9Y2Y6	TMEM98
Q9Y2Z0	SUGT1
Q9Y2Z2	MTO1
Q9Y2Z4	YARS2
Q9Y2Z9	COQ6
Q9Y305	ACOT9
Q9Y312	AAR2
Q9Y314	NOSIP
Q9Y315	DERA
Q9Y316	MEMO1
Q9Y320	TMX2
Q9Y333	LSM2
Q9Y366	IFT52
Q9Y371	SH3GLB1
Q9Y375	NDUFAF1
Q9Y376	CAB39
Q9Y383	LUC7L2
Q9Y385	UBE2J1
Q9Y388	RBMX2
Q9Y394	DHRS7
Q9Y399	MRPS2
Q9Y3A2	UTP11
Q9Y3A3	MOB4
Q9Y3A4	RRP7A
Q9Y3A5	SBDS
Q9Y3A6	TMED5
Q9Y3B1	PRELID3B
Q9Y3B2	EXOSC1
Q9Y3B3	TMED7
Q9Y3B4	SF3B6
Q9Y3B7	MRPL11
Q9Y3B8	REXO2
Q9Y3B9	RRP15
Q9Y3C0	WASHC3
Q9Y3C1	NOP16
Q9Y3C4	TPRKB
Q9Y3C6	PPIL1
Q9Y3C7	MED31
Q9Y3C8	UFC1
Q9Y3D0	FAM96B
Q9Y3D3	MRPS16
Q9Y3D5	MRPS18C
Q9Y3D6	FIS1
Q9Y3D7	PAM16
Q9Y3D8	AK6
Q9Y3D9	MRPS23
Q9Y3E0	GOLT1B
Q9Y3E1	HDGFL3
Q9Y3E5	PTRH2
Q9Y3E7	CHMP3
Q9Y3F4	STRAP
Q9Y3I0	RTCB
Q9Y3I1	FBXO7
Q9Y3L3	SH3BP1
Q9Y3L5	RAP2C
Q9Y3P9	RABGAP1
Q9Y3Q3	TMED3
Q9Y3S1	WNK2
Q9Y3T6	R3HCC1
Q9Y3T9	NOC2L
Q9Y3U8	RPL36
Q9Y3Y2	CHTOP
Q9Y3Z3	SAMHD1
Q9Y426	C2CD2
Q9Y448	KNSTRN
Q9Y450	HBS1L
Q9Y467	SALL2
Q9Y478	PRKAB1
Q9Y483	MTF2
Q9Y484	WDR45
Q9Y485	DMXL1
Q9Y487	ATP6V0A2
Q9Y490	TLN1
Q9Y496	KIF3A
Q9Y4A5	TRRAP
Q9Y4B4	RAD54L2
Q9Y4B6	DCAF1
Q9Y4C1	KDM3A
Q9Y4C2	TCAF1
Q9Y4C8	RBM19
Q9Y4E1	WASHC2C
Q9Y4E5	ZNF451
Q9Y4E6	WDR7
Q9Y4E8	USP15
Q9Y4F1	FARP1
Q9Y4G6	TLN2
Q9Y4G8	RAPGEF2
Q9Y4I1	MYO5A
Q9Y4J8	DTNA
Q9Y4K4	MAP4K5
Q9Y4L1	HYOU1
Q9Y4P1	ATG4B
Q9Y4P3	TBL2
Q9Y4P8	WIPI2
Q9Y4R8	TELO2
Q9Y4U1	MMACHC
Q9Y4W2	LAS1L
Q9Y4W6	AFG3L2
Q9Y4X0	AMMECR1
Q9Y4X5	ARIH1
Q9Y4Y9	LSM5
Q9Y4Z0	LSM4
Q9Y508	RNF114
Q9Y512	SAMM50
Q9Y520	PRRC2C
Q9Y530	OARD1
Q9Y547	HSPB11
Q9Y548	YIPF1
Q9Y570	PPME1
Q9Y580	RBM7
Q9Y584	TIMM22
Q9Y597	KCTD3
Q9Y5A7	NUB1
Q9Y5A9	YTHDF2
Q9Y5B0	CTDP1
Q9Y5B6	PAXBP1
Q9Y5B8	NME7
Q9Y5B9	SUPT16H
Q9Y5J1	UTP18
Q9Y5J6	TIMM10B
Q9Y5J7	TIMM9
Q9Y5J9	TIMM8B
Q9Y5K5	UCHL5
Q9Y5K6	CD2AP
Q9Y5K8	ATP6V1D
Q9Y5L0	TNPO3
Q9Y5L4	TIMM13
Q9Y5M8	SRPRB
Q9Y5N5	N6AMT1
Q9Y5N6	ORC6
Q9Y5P4	COL4A3BP
Q9Y5P6	GMPPB
Q9Y5Q8	GTF3C5
Q9Y5Q9	GTF3C3
Q9Y5R8	TRAPPC1
Q9Y5S2	CDC42BPB
Q9Y5S9	RBM8A
Q9Y5T5	USP16
Q9Y5U2	TSSC4
Q9Y5U8	MPC1
Q9Y5U9	IER3IP1
Q9Y5V3	MAGED1
Q9Y5W7	SNX14
Q9Y5X1	SNX9
Q9Y5X2	SNX8
Q9Y5X3	SNX5
Q9Y5Y0	FLVCR1
Q9Y5Y2	NUBP2
Q9Y5Y5	PEX16
Q9Y5Z4	HEBP2
Q9Y5Z9	UBIAD1
Q9Y605	MRFAP1
Q9Y606	PUS1
Q9Y608	LRRFIP2
Q9Y613	FHOD1
Q9Y617	PSAT1
Q9Y619	SLC25A15
Q9Y620	RAD54B
Q9Y624	F11R
Q9Y625	GPC6
Q9Y639	NPTN
Q9Y657	SPIN1
Q9Y664	KPTN
Q9Y666	SLC12A7
Q9Y672	ALG6
Q9Y673	ALG5
Q9Y676	MRPS18B
Q9Y678	COPG1
Q9Y679	AUP1
Q9Y680	FKBP7
Q9Y689	ARL5A
Q9Y696	CLIC4
Q9Y697	NFS1
Q9Y6A4	CFAP20
Q9Y6A5	TACC3
Q9Y6B6	SAR1B
Q9Y6B7	AP4B1
Q9Y6C9	MTCH2
Q9Y6D5	ARFGEF2
Q9Y6D6	ARFGEF1
Q9Y6D9	MAD1L1
Q9Y6E0	STK24
Q9Y6E2	BZW2
Q9Y6G3	MRPL42
Q9Y6G5	COMMD10
Q9Y6G9	DYNC1LI1
Q9Y6I3	EPN1
Q9Y6I8	PXMP4
Q9Y6I9	TEX264
Q9Y6J0	CABIN1
Q9Y6J9	TAF6L
Q9Y6K0	CEPT1
Q9Y6K1	DNMT3A
Q9Y6K5	OAS3
Q9Y6K9	IKBKG
Q9Y6M1	IGF2BP2
Q9Y6M4	CSNK1G3
Q9Y6M7	SLC4A7
Q9Y6M9	NDUFB9
Q9Y6N1	COX11
Q9Y6N5	SQOR
Q9Y6N7	ROBO1
Q9Y6R0	NUMBL
Q9Y6R4	MAP3K4
Q9Y6V7	DDX49
Q9Y6W3	CAPN7
Q9Y6W5	WASF2
Q9Y6X2	PIAS3
Q9Y6X3	MAU2
Q9Y6X5	ENPP4
Q9Y6X9	MORC2
Q9Y6Y8	SEC23IP
